[sec],Mean
0.00000E0,1202.368
1.12091E-34,1199.610
2.24182E-34,1193.698
3.36273E-34,1202.145
4.48364E-34,1202.127
5.60455E-34,1025.575
6.72546E-34,1070.270
7.84637E-34,1102.155
8.96728E-34,1128.402
1.00882E-33,1116.323
1.12091E-33,1005.560
1.23300E-33,1049.438
1.34509E-33,1074.052
1.45718E-33,1076.802
1.56927E-33,1096.557
1.68137E-33,1004.655
1.79346E-33,1034.887
1.90555E-33,1058.723
2.01764E-33,1081.562
2.12973E-33,1085.743
2.24182E-33,998.445
2.35391E-33,1027.900
2.46600E-33,1032.800
2.57809E-33,1047.838
2.69018E-33,1066.950
2.80227E-33,987.997
2.91437E-33,1014.968
3.02646E-33,1022.940
3.13855E-33,1031.618
3.25064E-33,1045.377
3.36273E-33,972.280
3.47482E-33,982.205
3.58691E-33,1000.555
3.69900E-33,1016.945
3.81109E-33,1023.160
3.92318E-33,955.208
4.03528E-33,976.570
4.14737E-33,988.422
4.25946E-33,1004.562
4.37155E-33,995.162
4.48364E-33,944.182
4.59573E-33,965.720
4.70782E-33,986.750
4.81991E-33,997.450
4.93200E-33,1007.640
5.04409E-33,925.388
5.15619E-33,944.990
5.26828E-33,954.617
5.38037E-33,964.753
5.49246E-33,965.227
5.60455E-33,911.810
5.71664E-33,935.963
5.82873E-33,929.600
5.94082E-33,948.492
6.05291E-33,943.823
6.16501E-33,908.352
6.27710E-33,921.078
6.38919E-33,940.455
6.50128E-33,940.155
6.61337E-33,949.780
6.72546E-33,908.370
6.83755E-33,922.210
6.94964E-33,937.015
7.06173E-33,944.818
7.17382E-33,945.180
7.28591E-33,917.513
7.39801E-33,926.220
7.51010E-33,945.430
7.62219E-33,955.388
7.73428E-33,915.068
7.84637E-33,929.593
7.95846E-33,944.583
8.07055E-33,955.032
8.18264E-33,959.900
8.29473E-33,918.778
8.40682E-33,930.648
8.51892E-33,941.672
8.63101E-33,941.737
8.74310E-33,941.953
8.85519E-33,910.807
8.96728E-33,927.963
9.07937E-33,940.840
9.19146E-33,944.010
9.30355E-33,949.000
9.41564E-33,911.938
9.52774E-33,918.778
9.63983E-33,936.268
9.75192E-33,947.982
9.86401E-33,947.920
9.97610E-33,911.162
1.00882E-32,927.088
1.02003E-32,931.980
1.03124E-32,948.350
1.04245E-32,952.927
1.05366E-32,916.727
1.06486E-32,917.438
1.07607E-32,922.068
1.08728E-32,929.620
1.09849E-32,941.258
