[sec],Mean
0.00000E0,1059.870
1.12091E-34,1048.078
2.24182E-34,1047.406
3.36273E-34,1047.779
4.48364E-34,1050.567
5.60455E-34,930.466
6.72546E-34,938.967
7.84637E-34,950.152
8.96728E-34,956.792
1.00882E-33,955.482
1.12091E-33,878.370
1.23300E-33,879.123
1.34509E-33,884.685
1.45718E-33,883.341
1.56927E-33,896.018
1.68137E-33,833.114
1.79346E-33,833.645
1.90555E-33,846.871
2.01764E-33,844.520
2.12973E-33,860.317
2.24182E-33,803.844
2.35391E-33,809.225
2.46600E-33,810.913
2.57809E-33,826.348
2.69018E-33,837.179
2.80227E-33,796.159
2.91437E-33,797.658
3.02646E-33,798.951
3.13855E-33,804.328
3.25064E-33,810.476
3.36273E-33,775.676
3.47482E-33,776.460
3.58691E-33,784.957
3.69900E-33,794.850
3.81109E-33,793.004
3.92318E-33,739.757
4.03528E-33,740.284
4.14737E-33,746.667
4.25946E-33,749.712
4.37155E-33,752.928
4.48364E-33,726.487
4.59573E-33,728.937
4.70782E-33,741.888
4.81991E-33,747.513
4.93200E-33,756.219
5.04409E-33,732.562
5.15619E-33,741.810
5.26828E-33,748.328
5.38037E-33,743.643
5.49246E-33,752.464
5.60455E-33,725.534
5.71664E-33,732.772
5.82873E-33,729.958
5.94082E-33,740.034
6.05291E-33,743.018
6.16501E-33,711.659
6.27710E-33,711.259
6.38919E-33,719.056
6.50128E-33,726.111
6.61337E-33,730.842
6.72546E-33,705.752
6.83755E-33,706.435
6.94964E-33,722.022
7.06173E-33,732.304
7.17382E-33,734.551
7.28591E-33,714.074
7.39801E-33,712.899
7.51010E-33,719.424
7.62219E-33,729.540
7.73428E-33,703.520
7.84637E-33,706.937
7.95846E-33,710.370
8.07055E-33,709.652
8.18264E-33,718.308
8.29473E-33,704.906
8.40682E-33,702.163
8.51892E-33,707.529
8.63101E-33,713.326
8.74310E-33,714.784
8.85519E-33,692.897
8.96728E-33,698.741
9.07937E-33,699.500
9.19146E-33,713.496
9.30355E-33,720.649
9.41564E-33,700.406
9.52774E-33,700.094
9.63983E-33,706.978
9.75192E-33,716.524
9.86401E-33,715.621
9.97610E-33,694.315
1.00882E-32,698.214
1.02003E-32,698.500
1.03124E-32,713.627
1.04245E-32,715.743
1.05366E-32,698.230
1.06486E-32,703.194
1.07607E-32,695.337
1.08728E-32,704.761
1.09849E-32,716.741
