Slice,Mean
1,835.997
2,804.884
3,803.390
4,800.988
5,795.889
6,788.644
7,783.598
8,781.963
9,778.149
10,775.803
11,768.149
12,762.978
13,765.073
14,738.136
15,740.664
16,735.590
17,728.864
18,721.928
19,718.791
20,710.054
21,703.049
22,697.184
23,696.029
24,692.133
25,668.289
26,665.160
27,659.617
28,656.229
29,652.823
30,646.398
31,638.659
32,633.806
33,633.353
34,628.374
35,627.362
36,620.147
37,621.368
38,613.362
39,613.747
40,608.049
41,603.716
42,605.961
43,601.954
44,597.894
45,598.081
46,594.757
47,579.201
48,576.327
49,570.789
50,563.600
51,561.147
52,558.059
53,555.789
54,554.106
55,549.771
56,547.244
57,547.201
58,540.264
59,540.106
60,538.122
61,535.016
62,530.270
63,526.718
64,524.368
65,525.011
66,519.500
67,519.601
68,516.002
69,506.958
70,508.653
71,500.114
72,501.506
73,493.301
74,491.589
75,483.656
76,483.670
77,481.632
78,480.581
79,478.658
80,473.008
81,473.362
82,470.079
83,466.790
84,464.827
85,462.658
86,463.787
87,463.912
88,460.370
89,459.800
90,457.593
91,456.140
92,454.962
93,453.137
94,453.032
95,450.684
96,446.799
97,445.509
98,442.070
99,441.673
100,439.242
101,436.992
102,429.396
103,427.353
104,427.760
105,427.644
106,423.206
107,421.918
108,419.641
109,419.392
110,420.313
111,414.693
112,416.662
113,413.238
114,412.552
115,411.213
116,408.306
117,409.460
118,406.050
119,404.590
120,402.679
121,400.541
122,401.318
123,402.400
124,399.192
125,400.839
126,400.373
127,397.161
128,396.549
129,395.058
130,394.572
131,392.342
132,392.179
133,390.817
134,389.649
135,386.760
136,387.854
137,386.979
138,386.187
139,386.110
140,386.497
141,384.008
142,384.621
143,382.728
144,382.443
145,381.298
146,376.176
147,377.410
148,375.648
149,375.869
150,373.024
151,371.364
152,368.633
153,368.136
154,367.748
155,365.013
156,366.036
157,365.574
158,364.517
159,363.244
160,364.204
161,361.542
162,361.727
163,361.163
164,361.542
165,358.238
166,357.540
167,361.354
168,356.173
169,355.319
170,357.038
171,357.663
172,355.112
173,356.206
174,353.962
175,350.369
176,352.228
177,348.473
178,350.449
179,347.446
180,347.932
181,345.619
182,346.891
183,344.362
184,345.489
185,343.841
186,343.726
187,342.332
188,342.892
189,342.937
190,341.827
191,342.513
192,341.542
193,339.748
194,340.548
195,339.481
196,339.423
197,339.859
198,340.788
199,341.068
200,341.074
201,340.137
202,338.503
203,338.622
204,337.906
205,336.226
206,334.206
207,334.119
208,333.632
209,333.406
210,332.262
211,331.501
212,328.637
213,328.320
214,328.921
215,327.193
216,326.919
217,326.091
218,325.813
219,326.301
220,322.752
