Time,ROI,Whole Cell,Background,
0,1382.32,983.917,94.5833,1.404915252
0.085,1336.81,937.663,95.4722,1.425682788
0.169,1280.38,918.222,101.9537,1.394412245
0.254,1271.94,910.891,89.4074,1.39636905
0.338,1274.21,898.896,91,1.417527723
0.423,1259.42,895.117,79.5556,1.406989254
0.507,1251.02,887.032,104.4537,1.410343708
0.59,1248.59,876.882,84.8241,1.4238974
0.674,1207.87,870.097,65.9537,1.388201545
0.758,1221.36,870.794,87.9259,1.402582011
0.843,1194.94,867.347,79.713,1.377695432
0.927,1195.66,861.759,78.4074,1.387464477
1.01,1220.82,864.028,64.5926,1.412940321
1.094,1220.07,851.219,82.4722,1.43332092
1.178,1191.87,844.659,89.1574,1.411066478
1.262,1189.5,847.766,94.0093,1.40309944
1.346,1179.39,842.489,81.6389,1.399887714
1.43,1135.05,834.142,78.8519,1.360739538
1.514,1155.87,831.507,81.75,1.390090522
1.599,1147.72,822.165,83.7407,1.395972828
1.684,1116.46,815.103,82.3333,1.369716465
1.768,1137.31,814.491,68.713,1.396344465
1.852,1114.71,805.816,74.2593,1.383330686
1.939,1127.1,809.168,78.9907,1.392912226
2.023,1112.84,802.646,95.7037,1.386464269
2.145,796.27,836.461,98.8981,0.951951137
2.259,928.91,795.257,108.9537,1.168062651
2.345,996.68,788.862,89.8704,1.263440247
2.43,1027.17,789.08,109.8426,1.30173113
2.514,1020.4,779.979,88.6296,1.30824035
2.598,988.88,778.064,91.6204,1.270949433
2.682,1022.78,778.847,101.9815,1.313197586
2.765,1000.97,773.584,96.1759,1.293938344
2.849,1023.02,772.807,86.3981,1.323771653
2.933,1040.23,770.722,95.5185,1.349682505
3.017,1005.99,757.79,71.0741,1.327531374
3.101,1002.96,757.818,88.1204,1.323484003
3.185,1005.93,756.152,90.0741,1.330327765
3.269,1025.59,751.369,75.6296,1.364961823
3.353,997.88,750.579,79.4907,1.329480308
3.437,978.2,745.789,124.3333,1.311631038
3.52,1017.29,751.392,93.8056,1.353873877
3.604,967.43,746.923,90.1204,1.295220525
3.688,1003.74,741.567,88.787,1.353539195
3.772,980.25,735.028,84.1296,1.333622665
3.856,1003.51,735.904,81.6944,1.36364254
3.943,1025.39,736.285,82.4815,1.39265366
4.027,1006.27,732.704,95.5278,1.37336496
4.111,987.72,729.312,79.963,1.354317494
4.195,986.52,727.047,71.9167,1.356886144
4.279,989.1,723.707,89.537,1.366713325
4.363,967.15,719.101,104.6111,1.3449432
4.448,967.35,717.967,87.4259,1.347346048
4.533,972.16,717.16,83.9352,1.35556919
4.618,947.84,713.169,79.8241,1.329053843
4.702,938.88,705.347,88.3611,1.33108952
4.787,944.09,709.634,80.8056,1.330390032
4.871,947.63,704.882,94.1204,1.344381045
4.956,937.86,699.993,90.7037,1.339813398
5.04,915.23,698.699,72.8796,1.309905982
5.124,934.31,697.246,74.1296,1.340000516
5.209,923.03,697.505,90.2963,1.323331016
5.293,923.78,691.398,85.9444,1.33610453
5.377,893.2,691.381,98.4444,1.291907067
5.461,919.55,688.188,83.7222,1.336190111
5.545,896.28,684.873,72.4722,1.308680587
5.629,893.37,686,87.7963,1.30228863
5.713,934.41,685.184,92.5741,1.363735872
5.797,911.58,680.425,85.4074,1.339721498
5.88,903.1,687.626,88.537,1.313359297
5.968,898.43,682.481,69.3426,1.3164176
6.052,877.3,673.675,88.7778,1.302259992
6.135,911.9,670.931,79.6111,1.359156158
6.22,926.6,675.891,74.9074,1.370931112
6.304,893.54,667.799,118.2407,1.338037344
6.3907,892.11,665.27,82.4907,1.340974341
