Time,ROI,Whole Cell,Background
0,713.443,555.167,66.4167
0.0867,724.312,551.185,76.0926
0.1734,689.584,546.823,80
0.2601,707.203,543.655,84.1389
0.3468,690.697,544.704,70.6111
0.4335,694.365,545.886,80.0463
0.5202,688.899,544.316,64.6481
0.6069,679.663,542.241,69.1944
0.6936,695.544,545.66,85.3981
0.7803,715.568,544.549,68.1481
0.867,690.892,542.182,69.5
0.9537,690.33,538.789,80.8241
1.0404,713.432,537.638,77.8889
1.1271,699.861,537.99,88.3148
1.2138,674.012,538.296,74.5093
1.3005,688.063,537.918,74.2593
1.3872,697.44,538.067,73.6204
1.4739,701.417,535.848,84.5093
1.5606,684.966,532.63,81.7407
1.6473,710.384,529.548,78.287
1.734,687.939,536.477,73.1481
1.8207,693.866,530.902,59.4259
1.9074,695.206,534.423,80.9722
1.9941,688.61,533.65,74.6481
2.0808,672.971,538.655,75.0556
2.2028,518.063,562.836,103.4074
2.2895,626.348,533.367,85.8611
2.3762,642.915,530.447,85.8981
2.4629,639.68,526.46,78.1574
2.5496,644.451,528.511,84.8333
2.6363,655.17,524.58,100.8056
2.723,645.942,525.495,87.6111
2.8097,658.548,526.197,93.3056
2.8964,653.04,525.141,78.9907
2.9831,654.821,520.328,66.9444
3.0698,651.907,520.913,58.1019
3.1565,642.9,520.787,90.4167
3.2432,647.786,516.27,76.6759
3.3299,637.473,517.906,77.1667
3.4166,644.621,523.011,76.0648
3.5033,656.004,515.003,61.4074
3.59,645.323,516.193,70.25
3.6767,645.868,513.812,63
3.7634,655.091,512.113,68.3241
3.8501,639.031,518.326,66.7963
3.9368,664.428,517.455,87.7685
4.0235,657.309,508.866,68.1574
4.1102,641.077,506.828,110.1204
4.1969,629.429,503.749,79.8796
4.2836,638.863,505.386,81.0648
4.3703,630.347,506.998,84.4537
4.457,646.464,507.694,63.3333
4.5437,655.794,508.953,92.5648
4.6304,652.077,504.41,81.5185
4.7171,639.948,502.585,93.9815
4.8038,641.247,505.584,74.287
4.8905,644.775,501.391,77.6296
4.9772,636.665,498.699,64.8519
5.0639,652.555,501.834,83.7222
5.1506,644.919,504.363,73.6574
5.2373,616.551,495.068,87.7963
5.324,623.318,497.86,66
5.4107,636.837,500.873,71.9352
5.4974,643.447,500.076,74.5185
5.5841,639.177,497.309,80.5185
5.6708,621.081,499.348,79.8611
5.7575,640.302,492.51,71.8889
5.8442,647.229,494.832,73.7037
5.9309,632.058,494.939,67.7685
6.0176,638.645,490.408,74.3056
6.1043,639.013,493.562,84.9537
6.191,616.042,491.421,77.7593
6.2777,620.706,487.305,78.0926
6.3644,628.688,493.726,77.75
6.4511,633.317,491.881,70.8796
6.5378,624.672,489.284,83.4537
