Time,ROI,Whole Cell,Background
0,1274.48,1291.553,103.2875
0.249,1156.219,1208.071,96.5298
0.499,1084.364,1195.077,98.0817
0.749,1026.167,1100.515,92.6971
0.999,950.392,1118.608,97.0952
1.249,973.877,1056.89,96.9519
1.499,924.824,992.156,94.9769
1.749,930.135,971.023,87.1942
1.999,910.869,975.899,88.9615
2.249,862.747,970.054,98.5346
2.499,849.063,972.127,90.3942
2.749,816.902,937.277,88.1712
2.999,800.225,923.032,96.7837
3.249,823.795,918.928,88.0404
3.499,813.661,930.393,89.9221
3.749,776.047,915.944,89.7894
3.999,751.778,903.434,89.7231
4.249,757.412,879.943,86.2962
4.499,747.625,888.964,91.6529
4.749,766.445,857.691,92.9337
5.003,303.354,871.455,79.2981
5.226,235.412,826.586,78.7529
5.449,209.556,741.116,76.9462
5.67,201.796,688.829,81.9394
5.891,193.379,648.831,73.9231
6.117,176.405,702.416,73.5904
6.339,175.084,635.753,68.0192
6.56,176.54,601.358,73.1327
6.781,156.816,602.004,73.2288
7.002,161.343,568.588,73.0442
7.247,315.884,570.772,77.3865
7.496,371.703,629.671,69.4673
7.746,406.371,650.309,70.3558
7.996,424.717,679.154,69.7885
8.246,429.133,708.49,68.9625
8.497,439.034,699.91,67.9337
8.747,448.361,715.909,72.1654
8.997,482.25,675.457,72.0154
9.247,490.423,697.516,70.0029
9.497,485.893,719.978,75.4192
9.747,491.279,739.989,77.0019
9.997,485.452,698.999,74.2625
10.247,494.291,718.887,72.2144
10.497,500.802,723.407,68.9587
10.747,509.959,718.277,70.226
10.997,498.27,715.943,65.9548
11.247,524.176,724.48,70.3019
11.497,514.161,719.929,69.6567
11.747,527.503,755.547,69.4952
11.997,521.707,730.702,69.6433
12.247,517.294,742.04,64.85
12.497,500.431,713.98,65.5375
12.748,512.25,743.172,73.699
12.997,508.923,737.611,72.7846
13.247,525.327,691.092,66.726
13.497,510.935,702.625,64.8913
13.747,529.766,731.544,65.4337
13.997,547.482,726.737,71.5413
14.247,524.614,700.619,70
14.497,531.562,707.993,67.6808
14.747,526.154,700.544,70.3202
14.997,543.871,728.456,68.0481
15.247,516.316,712.226,72.5913
15.497,515.119,729.024,66.0654
15.747,526.006,701.891,63.3327
15.997,509.586,731.581,69.8971
16.247,547.015,691.491,65.2952
16.497,513.615,689.889,62.326
16.747,528.902,709.354,62.9163
16.997,517.763,728.899,59.501
17.248,513.207,694.085,66.4519
17.498,531.471,683.438,64.5625
17.748,512.639,671.65,71.7375
17.998,504.245,683.72,69.6808
18.248,502.82,657.556,62.9663
18.498,510.379,666.359,67.1913
18.748,531.542,698.02,66.8442
18.998,537.592,677.351,61.976
19.248,523.762,652.292,69.7471
19.498,525.619,673.194,61.0981
19.748,505.046,687.381,62.3077
19.998,518.849,671.587,65.3212
20.248,511.754,669.186,69.7346
20.498,510.429,673.816,66.8885
20.748,506.85,649.063,66.5971
20.998,526.555,674.133,62.1798
21.248,494.332,654.618,65.5327
21.498,505.167,635.182,63.6433
21.748,499.209,686.922,67.525
21.998,491.463,652.026,60.4413
22.248,487.451,646.771,58.7567
22.498,507.709,651.214,58.249
22.751,490.693,641.281,72.574
22.998,501.38,619.589,60.0173
23.248,498.321,644.166,60.9933
23.498,493.998,648.972,68.7029
23.748,481.48,600.457,58.0538
23.998,489.879,614.442,66.0183
24.248,484.537,629.511,64.3413
24.498,483.391,601.508,65.4269
24.747,473.342,597.238,64.2702
24.997,461.674,642.846,58.1365
25.247,477.067,635.231,64.851
25.497,480.014,657.673,66.4144
25.747,462.659,634.141,66.1635
25.997,457.678,601.939,60.8154
26.248,474.739,616.952,67.249
26.498,463.189,610.739,67.0337
26.748,470.31,609.898,62.1952
26.998,482.261,593.661,57.6077
27.248,479.689,602.679,60.4096
27.498,474.163,601.165,64.5298
27.748,491.021,592.46,62.3471
27.998,490.989,587.259,58.4423
28.248,471.092,561.667,58.8087
28.498,479.851,582.725,61.651
28.748,470.051,544.928,59.6538
28.998,470.16,575.618,61.7192
29.248,463.173,603.983,61.7971
29.498,475.672,601.915,61.45
29.748,477.182,598.481,65.5692
29.998,467.237,575.832,59.7692
30.248,491.64,603.844,60.476
30.498,479.58,606.647,56.7567
30.748,472.285,555.265,60.1058
30.998,490.564,557.536,62.8692
31.248,498.671,548.558,62.3596
31.498,477.148,580.783,61.5433
31.748,495.371,536.418,61.9788
31.998,478.974,543.78,60.0154
