X,Y
0.00000,223.000
0.01857,218.079
0.03714,234.380
0.05571,263.184
0.07428,294.004
0.09286,303.043
0.11143,285.013
0.13000,250.410
0.14857,219.777
0.16714,227.534
0.18571,274.213
0.20428,346.424
0.22285,420.610
0.24143,473.315
0.26000,494.241
0.27857,478.502
0.29714,433.847
0.31571,374.067
0.33428,315.192
0.35285,272.938
0.37142,254.368
0.39000,263.646
0.40857,296.959
0.42714,345.166
0.44571,391.927
0.46428,423.636
0.48285,431.148
0.50142,421.815
0.51999,397.871
0.53857,371.413
0.55714,348.746
0.57571,330.372
0.59428,314.003
0.61285,297.585
0.63142,275.316
0.64999,253.438
0.66856,225.863
0.68714,196.820
0.70571,163.092
0.72428,127.881
0.74285,88.335
0.76142,53.817
0.77999,20.821
0.79856,2.725
0.81713,0.042
0.83571,2.977
0.85428,33.762
0.87285,90.755
0.89142,164.546
0.90999,241.939
0.92856,308.291
0.94713,349.750
0.96570,360.281
0.98428,344.588
1.00285,315.090
1.02142,288.585
1.03999,280.797
1.05856,298.552
1.07713,336.202
1.09570,380.887
1.11427,426.125
1.13285,470.999
1.15142,518.635
1.16999,569.091
1.18856,614.513
1.20713,645.113
1.22570,656.914
1.24427,655.302
1.26284,656.609
1.28142,674.184
1.29999,704.233
1.31856,727.445
1.33713,726.217
1.35570,699.282
1.37427,662.497
1.39284,637.680
1.41141,638.881
1.42999,667.526
1.44856,713.513
1.46713,761.381
1.48570,795.682
1.50427,808.206
1.52284,798.026
1.54141,770.852
1.55998,739.356
1.57856,715.585
1.59713,702.996
1.61570,697.818
1.63427,692.025
1.65284,677.883
1.67141,657.183
1.68998,641.062
1.70855,643.645
1.72713,674.025
1.74570,728.740
1.76427,790.577
1.78284,838.489
1.80141,860.714
1.81998,857.330
1.83855,839.905
1.85712,824.702
1.87569,824.283
1.89427,845.329
1.91284,888.515
1.93141,944.502
1.94998,998.396
1.96855,1036.148
1.98712,1048.070
2.00569,1033.376
2.02426,997.126
2.04284,948.940
2.06141,897.225
2.07998,847.915
2.09855,804.357
2.11712,768.487
2.13569,741.224
2.15426,721.634
2.17283,706.422
2.19141,693.035
2.20998,681.922
2.22855,677.192
2.24712,683.417
2.26569,705.282
2.28426,741.339
2.30283,785.595
2.32140,827.608
2.33998,856.165
2.35855,863.148
2.37712,845.637
2.39569,806.653
2.41426,752.549
2.43283,693.867
2.45140,643.336
2.46997,609.125
2.48855,595.466
2.50712,600.915
2.52569,620.451
2.54426,647.751
2.56283,677.271
2.58140,706.557
2.59997,734.322
2.61854,757.296
2.63712,770.260
2.65569,768.082
2.67426,750.125
2.69283,724.408
2.71140,702.662
2.72997,692.728
2.74854,698.953
2.76711,722.942
2.78569,762.049
2.80426,810.587
2.82283,860.042
2.84140,896.470
2.85997,903.691
2.87854,870.193
2.89711,798.025
2.91568,701.216
2.93426,602.277
2.95283,523.190
2.97140,473.792
2.98997,450.772
3.00854,442.450
3.02711,433.444
3.04568,406.939
3.06425,356.110
3.08283,281.519
3.10140,192.183
3.11997,102.259
3.13854,31.404
3.15711,0.603
3.17568,0.000
3.19425,2.622
3.21282,19.190
3.23140,43.437
3.24997,50.329
3.26854,40.863
3.28711,19.445
3.30568,0.801
3.32425,0.000
3.34282,0.000
3.36139,1.366
3.37997,16.150
3.39854,44.542
3.41711,63.934
3.43568,72.734
3.45425,73.069
3.47282,74.037
3.49139,88.394
3.50996,124.840
3.52853,179.877
3.54711,237.309
3.56568,278.822
3.58425,292.311
3.60282,281.652
3.62139,259.377
3.63996,241.734
3.65853,237.572
3.67710,248.968
3.69568,270.615
3.71425,294.962
3.73282,310.752
3.75139,301.064
3.76996,263.267
3.78853,201.619
3.80710,137.674
3.82567,96.396
3.84425,91.417
3.86282,114.713
3.88139,145.405
3.89996,161.178
3.91853,152.706
3.93710,120.954
3.95567,78.822
