Time,ROI,Whole,Back
0,611.536,268.7007,31.06433
0.309,606.388,262.7955,29.53091
0.618,595.595,271.1074,28.95906
0.927,588.587,262.7048,29.77611
1.236,583.777,259.0287,29.93609
1.545,581.571,259.5279,32.08146
1.858,620.956,258.5504,31.13325
2.167,551.673,258.9561,32.83751
2.476,595.236,257.2399,30.57101
2.785,597.575,258.6534,28.70342
3.094,609.071,254.3261,31.03509
3.403,572.629,256.4013,31.36049
3.712,588.518,255.4019,31.87218
4.025,605.514,256.3234,30.6015
4.334,579.239,242.7426,31.5919
4.643,580.442,248.4936,30.55597
4.952,567.868,240.9961,28.88513
5.261,623.32,233.9252,32.05973
5.57,580.41,248.9786,31.12364
5.883,610.893,240.9794,30.50334
6.32,230.15,237.7009,30.15915
6.629,170.808,245.3693,30.07602
7.059,233.691,230.8303,33.3066
7.369,219.549,234.5169,32.11696
7.678,231.508,239.5261,29.94528
7.991,236.202,233.3448,31.25773
8.3,243.164,228.459,29.80117
8.609,243.005,232.5804,30.52297
8.918,239.593,230.3162,31.78321
9.227,250.562,232.0094,33.56308
9.536,249.477,233.5001,28.87469
9.849,236.943,235.7894,32.00418
10.158,255.489,235.2943,30.03175
10.467,222.924,225.9298,30.60025
10.776,262.532,217.8771,32.57686
11.085,240.612,229.4896,31.42899
11.394,251.647,222.7068,32.50794
11.703,256.265,223.9678,30.50209
12.016,249.489,221.194,28.57018
12.325,259.975,226.6984,30.79783
12.634,241.919,222.1041,29.86884
12.943,253.69,216.8801,29.37093
13.252,253.926,219.4037,29.52882
13.561,255.026,215.4345,30.75522
13.874,262.218,225.0501,31.17711
14.183,260.072,233.7164,28.632
14.492,267.553,228.0282,28.98037
14.801,261.29,224.4446,30.48329
15.11,260.482,226.3567,30.33292
15.419,270.199,219.6169,31.80827
15.728,251.883,224.6856,30.31454
16.041,269.34,227.8152,29.44319
16.35,259.17,219.5587,29.96241
16.659,266.876,220.7419,27.93191
16.969,256.825,214.1435,32.59607
17.278,257.784,220.8237,27.85673
17.587,247.267,218.6337,26.46491
17.9,258.711,216.8391,27.77402
18.209,253.989,217.8074,28.83542
18.518,250.732,222.4227,30.38137
18.827,256.826,213.9619,29.42398
19.136,264.681,218.0669,28.4386
19.445,260.199,216.9899,30.10025
19.754,253.039,217.8349,29.4812
20.067,253.489,222.2757,32.5472
20.376,257.022,219.8506,28.08479
20.685,258.946,217.1227,28.27861
20.994,260.807,215.9655,29.57519
21.303,250.142,212.5123,30.52966
21.612,270.244,209.2956,27.24227
21.925,247.982,209.1096,31.60401
22.234,257.748,214.7295,28.65706
26.237,267.795,216.4131,31.13325
30.237,265.339,219.9392,28.41312
34.237,264.142,221.9313,29.80409
38.238,291.581,234.2266,28.29323
42.237,277.948,234.9959,29.45572
46.238,298.138,243.2646,29.67001
50.238,274.768,250.7774,30.46241
54.239,303.913,248.5217,27.42857
58.239,279.717,243.8902,29.33584
62.239,283.501,253.234,27.76149
66.239,294.248,250.2484,29.78906
70.24,288.289,245.602,25.92648
74.24,304.526,256.9768,27.84754
78.239,289.917,238.8495,29.80994
82.24,317.598,242.8688,28.80159
86.24,293.438,252.0853,29.52548
90.241,330.771,248.5537,29.97076
94.24,302.879,250.8386,30.66541
98.241,333.243,247.4566,28.65205
102.241,301.26,246.9057,28.25815
106.242,334.316,229.4813,28.98872
110.242,330.469,226.5123,28.95614
114.242,312.219,233.8913,27.89474
118.242,312.814,237.9195,27.82456
122.242,327.545,234.2173,30.17084
126.243,310.404,238.5049,28.60067
130.242,312.181,234.1133,28.61571
134.243,343.814,235.0236,28.89557
138.243,324.381,232.0321,29.1792
142.244,342.254,236.4057,29.53342
146.244,351.9,233.8845,28.65581
150.244,318.658,230.8395,30.2477
154.244,337.903,228.8401,31.23433
158.244,332.705,226.6901,32.48454
162.245,326.486,227.1181,29.93943
166.244,325.552,230.3287,28.70802
170.245,348.277,232.2895,30.19716
174.245,332.435,233.752,28.82874
178.246,365.094,228.693,28.21345
182.245,366.779,230.2464,31.23058
186.246,367.873,226.8898,28.67544
190.246,380.567,230.6307,30.46992
194.247,410.618,236.2276,30.29992
198.247,414.068,234.3199,28.24812
202.246,416.493,229.285,29.74269
206.247,395.166,232.0516,29.6746
210.247,399.138,229.4962,28.11278
214.248,459.523,225.9563,30.36174
218.247,409.786,227.785,28.71763
222.248,415.285,229.4054,28.68713
