[sec],Mean
NaN,1421.213
Infinity,1208.277
Infinity,990.191
Infinity,825.447
Infinity,804.255
Infinity,733.660
Infinity,680.128
Infinity,623.723
Infinity,618.085
Infinity,567.191
Infinity,557.596
Infinity,593.128
Infinity,542.894
Infinity,536.574
Infinity,558.957
Infinity,636.000
Infinity,579.936
Infinity,531.000
Infinity,616.383
Infinity,533.681
Infinity,493.936
Infinity,518.681
Infinity,535.468
Infinity,582.255
Infinity,569.574
Infinity,542.383
Infinity,490.766
Infinity,502.915
Infinity,483.532
Infinity,499.532
Infinity,528.915
Infinity,523.149
Infinity,526.362
Infinity,514.532
Infinity,494.319
Infinity,488.149
Infinity,491.809
Infinity,509.106
Infinity,507.191
Infinity,514.596
Infinity,531.638
Infinity,555.191
Infinity,545.596
Infinity,568.511
Infinity,552.021
Infinity,547.468
Infinity,548.277
Infinity,516.468
Infinity,536.681
Infinity,484.702
Infinity,469.851
Infinity,458.064
Infinity,495.809
Infinity,464.957
Infinity,441.362
Infinity,442.426
Infinity,449.085
Infinity,453.745
Infinity,436.809
Infinity,442.191
Infinity,430.064
Infinity,437.745
Infinity,428.979
Infinity,441.426
Infinity,441.766
Infinity,438.128
Infinity,440.787
Infinity,430.383
Infinity,415.064
Infinity,439.383
Infinity,426.191
Infinity,419.128
Infinity,425.298
Infinity,421.362
Infinity,423.298
Infinity,430.894
Infinity,421.234
Infinity,411.660
Infinity,434.702
Infinity,410.596
Infinity,405.915
Infinity,417.702
Infinity,395.745
Infinity,402.000
Infinity,402.702
Infinity,407.213
Infinity,402.766
Infinity,392.553
Infinity,385.915
Infinity,378.660
Infinity,387.702
Infinity,378.383
Infinity,377.085
Infinity,372.638
Infinity,382.404
Infinity,390.766
Infinity,389.723
Infinity,387.596
Infinity,379.660
Infinity,366.191
Infinity,371.553
Infinity,367.745
Infinity,365.532
Infinity,374.085
Infinity,366.447
Infinity,366.936
Infinity,368.489
Infinity,361.298
Infinity,354.766
Infinity,365.043
Infinity,361.255
Infinity,369.787
Infinity,365.809
Infinity,369.021
Infinity,370.426
Infinity,358.915
Infinity,370.340
Infinity,362.319
Infinity,364.426
Infinity,359.596
Infinity,356.979
