[sec],Mean
0,1721.088
1,1502.500
2,1395.817
3,1333.598
4,1281.536
5,1259.976
6,1257.500
7,1225.664
8,1228.914
9,1220.370
10,1215.258
11,1208.016
12,1208.474
13,1204.166
14,1200.050
15,1206.115
16,1205.029
17,1202.464
18,1215.684
19,1209.224
20,1209.266
21,1214.316
22,1211.997
23,1224.826
24,1212.154
25,1210.580
26,1225.014
27,1239.915
28,1226.587
29,1228.092
30,1237.784
31,1237.203
32,1238.530
33,1245.191
34,1251.736
35,1257.271
36,1263.150
37,1256.888
38,1262.484
39,1272.795
40,1259.594
41,1259.010
42,1271.543
43,1272.412
44,1282.345
45,1283.383
46,1289.063
47,1292.107
48,1295.159
49,1282.404
50,1288.922
51,1302.399
52,1300.065
53,1308.818
54,1314.371
55,1313.468
56,1329.099
57,1332.110
58,1322.838
59,1336.661
