[sec],Mean
0,2624.833
1,2716.75
2,2641.083
3,2604.75
4,2464.667
5,2401.75
6,2309.083
7,2293.667
8,2222.333
9,2155.167
10,2097.667
11,2074.833
12,2068.333
13,1993
14,2008.833
15,1980.583
16,1956.083
17,1947.083
18,1865.083
19,1842.083
20,1810.167
21,1863.25
22,1791.583
23,1760.083
24,1774.5
25,1710.083
26,1753.333
27,1740.75
28,1715.25
29,1715.25
30,1687
31,1696.167
32,1650.417
33,1657.5
34,1632.667
35,1603
36,1643.833
37,1607.75
38,1614.5
39,1596.583
40,1572.083
41,1601.917
42,1575.167
43,1524.417
44,1563.75
45,1567.417
46,1589.583
47,1549.417
48,1535.5
49,1530.583
50,1533.25
51,1536.667
52,1533.167
53,1542.583
54,1503.667
55,1475.667
56,1506.25
57,1465
58,1510.083
59,1497.583
60,1438.833
61,1502.667
62,1439.917
63,1482.417
64,1463.667
65,1472.833
66,1496.417
67,1486.167
68,1480.167
69,1443.167
70,1468.083
71,1480.75
72,1446.083
73,1497.083
74,1464.333
75,1452
76,1478.5
77,1463.25
78,1443.167
79,1426.583
80,1443.167
81,1455.583
82,1440.25
83,1505.417
84,1452.833
85,1445.583
86,1436.25
87,1428.667
88,1433.25
89,1463.167
90,1449.75
91,1464.25
92,1424.25
93,1440.5
94,1411
95,1425.917
96,1466.667
97,1449.417
98,1435.333
99,1455.25
100,1411.75
101,1464.25
102,1410.333
103,1410.417
104,1440.583
105,1397.167
106,1430.417
107,1487.75
108,1425.5
109,1384.083
110,1446.167
111,1441.5
112,1424.583
113,1469.333
114,1434.583
115,1417.833
116,1472.583
117,1459.167
118,1423.417
119,1459.833
120,1435.25
121,1446
122,1484.833
123,1434.583
124,1454.5
125,1440.167
126,1464.667
127,1450
128,1447.25
129,1439.583
130,1428.75
131,1482.333
132,1438.917
133,1462.167
134,1450.333
135,1430
136,1639.75
137,1620.417
138,1580.5
139,1600.667
140,1616.833
141,1532.417
142,1541.75
143,1521.25
144,1523.333
145,1571.583
146,1561
147,1547.667
148,1530.667
149,1521
150,1469.083
151,1489.083
152,1515.083
153,1478
154,1523.583
155,1509.667
156,1518.417
157,1528.417
158,1480.333
159,1511.833
160,1457.167
161,1501.167
162,1482.833
163,1468.667
164,1456.833
165,1463.5
166,1452.333
167,1494.25
168,1442.75
169,1441.167
170,1477
171,1440.5
172,1445.667
173,1431.5
174,1429.833
175,1451.667
176,1447.75
177,1443.667
178,1407.417
179,1382.333
180,1369.75
181,1372.083
182,1351.167
183,1384.167
184,1398.167
185,1389.417
186,1382.25
187,1379
188,1372.667
189,1368.833
190,1346.167
191,1394.417
192,1375.083
193,1353.667
194,1383
195,1371.667
196,1384.5
197,1399.917
198,1386.417
199,1394.583
200,1394.167
201,1376
202,1388.333
203,1386.25
204,1394.5
205,1424
206,1439.5
207,1383.167
208,1380
209,1392.25
210,1402.333
211,1422.25
212,1414.25
213,1398.583
214,1396.25
215,1416.083
216,1473.333
217,1459.667
218,1477.917
219,1445.083
220,1424.333
221,1410.083
222,1390.333
223,1384.583
224,1428.333
225,1371.5
226,1377.083
227,1364.083
228,1376.417
229,1397.5
230,1350.833
231,1398
232,1400
233,1381.667
234,1382.167
235,1426.583
236,1413.417
237,1385.833
238,1396.417
239,1374.667
240,1400.333
241,1395.583
242,1395.5
243,1376.917
244,1405.083
245,1413.583
246,1419.5
247,1414.25
248,1394.167
249,1402
250,1427
251,1403.917
252,1404.167
253,1413.583
254,1413.667
255,1335.167
256,1395.667
257,1390.333
258,1405.25
259,1425.5
260,1389.667
261,1424.333
262,1405.25
263,1430.25
264,1426.583
265,1426.5
266,1478.25
267,1406.667
268,1401.667
269,1412.417
270,1373.417
271,1421.5
272,1406
273,1449.167
274,1402.417
275,1403.167
276,1398.667
277,1418.5
278,1387.083
279,1369.917
280,1398.25
281,1380.333
282,1391.167
283,1399.5
284,1431.5
