X,Y
0.00000,0.000
0.10725,0.000
0.21451,0.000
0.32176,0.000
0.42901,0.000
0.53627,0.000
0.64352,0.000
0.75078,0.000
0.85803,0.000
0.96528,0.000
1.07254,0.000
1.17979,0.000
1.28704,0.000
1.39430,0.000
1.50155,0.000
1.60881,0.000
1.71606,0.000
1.82331,0.000
1.93057,5.610
2.03782,27.856
2.14507,63.852
2.25233,105.951
2.35958,148.269
2.46684,186.577
2.57409,221.186
2.68134,258.640
2.78860,302.070
2.89585,346.703
3.00310,385.217
3.11036,413.044
3.21761,434.475
3.32486,458.903
3.43212,494.813
3.53937,542.243
3.64663,594.365
3.75388,640.905
3.86113,673.397
3.96839,684.134
4.07564,674.354
4.18289,650.264
4.29015,623.420
4.39740,608.669
4.50466,616.110
4.61191,650.419
4.71916,704.383
4.82642,763.152
4.93367,808.602
5.04092,827.290
5.14818,814.251
5.25543,776.585
5.36269,726.357
5.46994,676.838
5.57719,632.438
5.68445,591.010
5.79170,547.365
5.89895,499.622
6.00621,446.460
6.11346,387.091
6.22071,323.098
6.32797,260.286
6.43522,205.426
6.54248,164.305
6.64973,139.480
6.75698,126.475
6.86424,116.601
6.97149,103.447
7.07874,83.399
7.18600,54.641
7.29325,22.338
7.40051,2.030
7.50776,0.242
7.61501,0.000
7.72227,0.000
7.82952,0.000
7.93677,0.000
8.04403,0.000
8.15128,0.000
8.25854,0.000
8.36579,0.000
8.47304,0.000
