Time,ROI,Whole Cell,Background
0,473.36,460.373,59.7995
0.25,481.576,466.951,50.4135
0.5,470.244,463.558,58.0957
0.75,501.111,473.936,53.4668
1,516.956,460.879,58.4928
1.25,491.46,471.463,55.5019
1.5,476.038,492.164,58.2385
1.75,498.889,459.612,57.7048
2,491.36,456.974,55.1591
2.25,492.238,441.529,55.412
2.5,490.046,442.936,60.3582
2.75,510.408,445.274,56.5274
3,482.981,458.086,54.0846
3.25,508.086,464.015,56.2154
3.5,469.796,468.23,51.6923
3.75,500.3,464.88,59.388
4,478.013,445.59,53.0938
4.25,513.272,462.153,56.7462
4.5,485.587,468.381,53.6077
4.75,497.615,450.9,53.3423
4.971,193.592,479.54,54.5423
5.192,159.26,441.936,56.7346
5.413,141.602,399.423,52.4466
5.634,142.91,373.472,56.2394
5.855,138.584,361.463,47.3918
6.105,266.779,368.665,47.8596
6.355,318.844,383.968,56.4418
6.605,358.284,385.167,51.7716
6.855,385.629,400.943,54.3303
7.105,374.471,419.361,52.1577
7.355,379.349,395.254,51.5986
7.605,391.543,395.01,50.3937
7.855,402.225,402.539,54.6673
8.105,403.428,404.383,53.6236
8.355,396.409,393.273,51.5933
8.605,382.062,408.457,52.1486
8.855,398.967,408.668,55.2712
9.105,410.983,397.962,50.9582
9.355,426.385,416.388,47.2058
9.605,420.754,406.138,53.3913
9.855,403.073,400.674,50.0356
10.105,404.591,402.366,50.0038
10.355,390.859,411.921,49.4976
10.605,408.941,407.343,50.0409
10.855,380.373,418.233,52.5019
11.105,403.835,406.858,49.9284
11.355,426.62,409.605,50.9683
11.605,410.368,415.743,50.2298
11.855,412.615,416.539,48.4885
12.105,410.329,413.688,47.0365
12.355,389.087,417.888,57.5995
12.605,415.875,403.611,51.9601
12.855,401.126,413.93,56.0346
13.105,410.671,407.381,51.5793
13.355,412.555,410.202,50.3072
13.605,401.192,404.989,49.6111
13.855,407.57,401.03,50.4274
14.105,418.458,433.009,56.1337
14.355,413.24,425.276,52.4611
14.605,400.84,422.211,53.1053
14.855,421.235,396.215,54.299
15.105,418.932,387.381,50.9298
15.355,431.445,403.295,50.3216
15.605,448.041,385.156,55.5894
15.855,411.214,412.735,53.7466
16.105,410.208,420.528,46.5361
16.355,401.457,412.854,52.1005
16.605,388.269,419.414,53.8981
16.855,405.737,406.714,48.8966
17.105,407.107,429.111,54.225
17.355,407.211,428.403,49.8216
17.605,399.05,410.365,50.9692
17.855,417.8,431.233,53.2034
18.105,398.257,414.514,47.3005
18.355,420.038,411.537,51.7587
18.605,392.227,426.724,51.8096
18.855,405.561,421.131,46.8779
19.105,418.384,431.047,50.1178
19.355,394.906,399.655,47.6808
19.605,416.67,417.072,46.9457
19.855,412.936,390.898,54.5298
20.105,410.496,388.43,46.3923
20.355,430.012,409.152,47.9212
20.605,400.197,420.458,49.4548
20.855,399.42,398.257,53.1149
21.105,395.406,398.133,50.1067
21.355,425.019,377.957,53.2981
21.605,376.729,398.423,46.7562
21.855,387.198,373.116,57.05
22.105,382.36,386.346,53.9899
22.355,412.394,369.685,48.5952
22.605,391.425,374.013,48.7327
22.855,382.538,368.293,54.4053
23.105,363.565,365.53,53.7899
23.355,369.894,390.753,54.6649
23.605,377.317,369.479,49.6538
23.855,364.523,367.978,50.4572
24.105,363.529,361.391,57.5207
24.355,376.756,363.315,57.6466
24.605,383.803,377.874,55.0928
24.855,361.453,377.617,51.3399
25.105,384.888,355.765,49.9495
25.355,354.791,366.371,53.3187
25.605,379.387,375.251,56.0683
25.855,373.194,368.573,48.5409
26.105,401.064,350.157,53.201
26.355,388.703,377.053,50.1135
26.605,374.448,352.943,51.413
26.855,363.65,377.678,54.5192
27.105,360.427,366.675,55.4284
27.355,360.726,356.636,52.6736
27.605,362.338,370.358,52.1726
27.855,343.865,360.594,55.2577
28.105,376.852,334.152,51.762
28.355,355.927,355.27,48.4558
28.605,358.942,375.483,55.8611
28.855,365.728,372.82,51.0197
29.105,361.684,344.564,50.2101
29.355,343.565,374.579,52.8543
29.605,350.328,355.9,55.1399
29.855,356.869,344.633,49.9587
30.105,353.601,331.283,50.4082
30.355,347.839,363.765,50.1173
30.605,351.599,347.369,53.0808
30.855,375.319,361.347,51.3091
