Time,ROI,Whole,Back
0,634.195,132.78,29.42359
0.309,594.363,130.2651,30.36984
0.618,593.394,131.7432,29.99129
0.927,572.667,129.5646,30.83957
1.236,551.44,129.6364,30.90295
1.545,599.577,127.4817,29.80233
1.858,603.871,127.9502,29.39415
2.167,596.795,127.2355,30.36067
2.476,569.244,124.6603,29.28811
2.785,563.995,126.638,30.79417
3.094,553.748,126.2735,30.88351
3.403,559.726,125.2946,29.4035
3.712,543.581,125.8026,29.73757
4.025,565.577,126.1544,29.20538
4.334,534.148,125.7059,28.8226
4.643,561.298,124.9347,29.93497
4.952,586.355,126.0189,29.31673
5.261,549.769,123.9747,30.77747
5.57,541.274,122.771,29.09677
5.883,554.414,123.0907,30.3359
6.32,255.439,122.6396,30.30132
6.63,204.022,121.8995,29.76087
7.059,238.252,121.307,28.67511
7.368,236.135,119.4258,29.19354
7.677,268.431,120.4725,30.09237
7.99,237.341,120.7889,29.54733
8.299,258.394,120.6725,30.21877
8.608,241.634,119.7394,29.92809
8.917,250.995,121.472,30.44304
9.226,268.142,119.5386,29.82407
9.535,280.895,119.5979,29.26215
9.848,260.503,119.0445,30.09484
10.157,253.418,120.231,29.12585
10.466,253.003,117.6771,30.17566
10.775,275.081,119.7611,29.69006
11.084,277.775,120.4423,30.30967
11.393,271.505,116.1576,30.13199
11.702,259.214,117.202,29.78958
12.015,244.917,119.7498,30.23959
12.324,252.119,117.2749,29.76912
12.633,267.783,117.2227,28.78655
12.942,266.533,117.8173,29.34287
13.251,265.302,116.116,30.79444
13.56,261.597,118.8219,29.469
13.873,276.306,116.4694,30.09209
14.182,283.766,116.1386,30.11099
14.491,258.997,116.2563,29.38433
14.8,265.435,117.6667,29.97322
15.109,269.463,115.4569,28.80242
15.418,277.231,117.5159,29.48899
15.727,259.685,117.2028,29.60741
16.04,264.996,117.6866,30.47175
16.349,291.591,116.2171,28.37856
16.658,262.074,115.8934,28.79041
16.967,240.094,113.1297,28.91011
17.276,261.397,115.3303,29.38314
17.585,268.68,116.4723,29.23179
17.898,257.751,116.2993,29.93304
18.207,269.046,118.3586,30.1497
18.516,269.423,115.8451,29.3858
18.825,256.334,116.2686,29.06155
19.134,267.661,114.5069,29.72766
19.443,244.412,114.4887,29.7217
19.752,269.128,115.2118,30.02155
20.065,283.213,114.7148,30.16731
20.374,284.311,116.1813,29.44432
20.684,261.697,113.313,29.02651
20.993,249.005,115.6527,29.30527
21.302,271.577,112.2653,29.13172
21.611,266.123,111.2879,28.77307
21.924,258.631,114.411,29.14621
22.233,250.867,114.1934,29.23803
26.235,291.008,113.6048,29.19969
30.235,269.843,112.4324,28.9523
34.236,295.415,116.5902,28.77582
38.236,299.817,115.0589,29.54247
42.236,283.445,115.4139,29.97276
46.236,288.406,117.7674,30.37268
50.237,301.693,122.2201,30.57026
54.237,300.201,120.773,29.04861
58.238,293.151,118.4366,29.39048
62.237,290.075,119.5492,29.26041
66.238,301.863,119.8796,29.28343
70.238,313.484,120.8348,30.07852
74.238,316.45,118.9784,29.78582
78.238,327.303,119.6951,30.0321
82.238,330.097,122.6755,29.46102
86.239,324.942,119.7024,28.69409
90.239,333.846,121.7382,29.16336
94.239,340.769,120.9744,29.55999
98.239,341.484,121.2606,28.62429
102.24,338.997,122.8669,28.01312
106.24,369.755,124.5598,29.29123
110.24,368.853,125.1636,29.54201
114.24,357.906,123.2655,28.87296
118.24,393.172,124.0175,29.47799
122.241,365.462,125.4781,29.77775
126.241,374.632,125.2317,30.12576
130.241,417.215,126.0406,28.37947
134.241,394.732,125.8599,29.5709
138.242,418.147,127.4272,29.18501
142.242,419.239,128.5881,29.88892
146.242,398.369,128.4505,29.60466
150.242,432.365,126.1931,29.46946
154.242,413.499,126.9264,28.42524
158.243,403.91,126.4065,29.48945
162.243,404.228,124.8665,29.89075
166.243,429.475,128.3112,28.77444
170.243,420.885,124.8728,29.17401
174.244,441.213,125.0966,29.7395
178.244,432.271,127.2331,29.43763
182.244,444.364,129.0331,29.82719
186.244,438.863,129.8588,29.30068
190.245,432.045,129.4105,29.79086
194.245,454.965,127.2457,29.58769
198.245,483.943,128.9606,29.85461
202.245,460.061,129.3849,29.65759
206.245,491.348,126.7474,29.40084
210.246,481.11,130.571,30.31884
214.246,486.543,131.5554,29.88754
218.247,471.566,130.4062,30.93377
222.247,469.738,130.8449,29.7095
