Time,ROI,Whole,Back,Whole-cyto
0,630.641,520.47,31.17341,354.726
0.309,608.263,527.274,30.80855,344.089
0.618,616.466,511.518,30.44544,361.303
0.929,593.595,538.978,30.70274,350.606
1.238,613.305,520.741,30.95817,357.97
1.547,601.391,537.554,31.6448,350.217
1.86,645.133,501.353,31.90868,345.707
2.169,611.571,512.61,31.27867,348.245
2.479,636.414,498.435,31.16997,335.778
2.788,620.668,498.252,31.48956,349.257
3.098,599.96,506.182,32.1856,326.977
3.408,589.548,515.63,30.70624,325.603
3.717,609.971,491.421,31.44326,330.96
4.03,587.356,499.816,30.73304,315.246
4.341,609.431,516.182,31.36601,313.548
4.65,582.602,501.733,30.46831,309.408
4.959,603.454,489.104,31.36166,304.872
5.268,584.956,504.481,31.93089,299.47
5.577,591.975,499.302,32.77493,308.597
5.89,602.982,492.159,32.22055,308.718
6.33,321.83,502.053,31.39594,289.404
6.639,199.463,502.054,32.66792,305.684
7.07,247.501,484.808,31.44912,313.837
8.07,253.736,496.099,31.1148,293.976
9.07,264.591,491.442,31.85991,284.853
10.07,278.789,500.648,31.47562,286.528
11.07,275.806,500.311,31.75694,286.857
12.07,274.15,490.116,31.6055,271.231
13.07,281.948,493.575,31.38381,274.546
14.07,286.846,495.921,31.79207,270.96
15.07,295.827,496.889,31.14782,270.51
16.071,284.181,496.583,31.23841,260.362
17.071,284.475,471.448,29.98564,263.476
18.071,301.83,492.45,31.48811,269.766
19.071,279.097,476.019,31.99016,258.3
20.07,289.392,470.243,31.18783,272.016
21.07,283.565,470.044,31.85925,257.584
22.07,275.401,455.606,31.6661,255.169
23.07,278.226,484.074,31.46216,262.126
24.07,281.523,449.125,31.22718,259.579
25.071,286.028,457.437,30.9694,247.741
26.071,288.293,457.775,31.08613,257.874
27.071,305.229,480.39,31.68457,251.974
28.071,298.71,439.358,30.95884,266.917
29.071,300.831,482.036,31.59398,264.194
30.071,316.436,453.011,30.64105,274.1
31.071,300.408,474.658,31.87482,251.345
32.071,289.277,469.115,31.44139,263.493
33.071,314.555,455.492,32.10569,256.297
34.072,325.858,479.07,31.4222,265.759
35.072,336.842,447.997,31.37422,265.441
36.072,325.15,451.893,30.63411,260.828
37.071,321.089,473.225,31.94544,249.295
38.071,303.491,456.09,30.53567,246.345
39.071,311.915,464.948,31.95841,265.427
40.071,319.876,450.831,32.62947,249.289
41.071,315.746,458.16,31.11679,243.579
42.071,306.034,444.773,30.66405,256.809
43.072,322.483,436.36,31.13502,271.958
44.072,322.307,449.426,31.14691,262.143
45.072,317.17,469.455,32.13623,264.379
46.072,335.229,451.328,31.10243,265.102
47.072,332.698,435.158,30.78881,265.956
48.072,332.827,434.765,30.8371,253.524
49.072,306.776,438.249,31.75187,259.033
50.072,321.242,424.051,32.03495,263.843
51.072,317.312,433.893,31.46523,254.669
52.073,321.535,451.715,31.11818,251.375
53.073,337.475,437.427,30.36824,254.77
54.073,325.445,417.049,31.68644,251.333
55.072,331.692,452.592,31.61595,239.567
56.072,333.639,447.315,32.00996,251.763
57.072,334.289,441.295,31.12446,267.982
58.072,351.499,445.607,31.52909,250.569
59.072,327.356,440.227,30.55523,254.806
60.073,345.236,457.43,31.67612,248.354
61.073,325.243,428.868,30.47713,245.233
62.073,351.159,433.504,30.94164,249.903
63.073,337.636,441.607,32.2867,264.392
64.073,331.238,447.739,30.36933,249.159
65.073,347.88,440.772,31.16514,257.84
66.073,343.478,439.107,31.44471,249.022
67.073,347.891,436.979,30.66466,249.39
68.073,330.869,433.638,30.50145,257.899
69.074,356.873,444.086,31.11812,245.263
70.074,340.293,427.451,29.85255,249.438
71.074,326.092,405.114,29.90482,251.898
72.073,329.872,431.223,30.71004,251.465
73.073,322.656,451.823,29.9898,241.154
74.073,338.573,417.366,31.70304,244.259
75.073,339.426,415.719,32.00755,245.169
76.073,365.836,423.662,32.0265,269.452
77.073,347.159,427.12,30.35188,246.293
78.074,341.275,425.922,31.92938,255.955
79.074,366.251,426.185,30.97882,249.553
80.074,364.514,410.217,31.27879,251.431
81.074,385.173,419.851,31.34977,252.225
82.074,334.943,448.206,32.25453,251.921
83.074,352.512,430.443,31.44695,255.979
84.074,371.824,419.077,30.80257,246.985
85.074,359.857,430.744,30.76962,251.485
86.074,377.724,422.372,30.51714,252.698
87.075,368.76,431.652,30.94236,260.874
88.075,358.451,418.434,31.05287,244.612
89.075,353.115,415.295,31.37011,244.638
90.074,351.61,412.321,31.86933,250.356
91.074,355.354,430.464,31.20848,242.801
92.074,362.611,403.468,32.92395,242.262
93.074,384.065,407.952,31.02028,251.99
94.074,364.257,418.298,31.42377,257.798
95.074,350.643,419.368,31.92697,249.87
96.075,374.341,422.15,31.57412,246.235
97.075,368.57,399.714,31.82925,243.424
98.075,366.248,414.618,31.4493,237.651
99.075,379.899,443.212,31.45244,240.617
100.075,382.432,430.656,32.44001,253.921
101.075,364.251,408.134,30.71988,247.157
102.075,371.505,400.241,32.23328,253.089
103.075,374.851,412.087,31.52861,245.567
104.075,378.318,406.202,32.0341,244.709
105.076,374.609,413.481,31.56971,255.828
106.076,369.726,418.001,30.54273,255.933
107.075,373.587,406.491,30.62011,259.33
108.075,382.186,410.306,31.08178,260.578
109.075,390.337,379.535,31.02414,232.17
110.075,382.53,418.733,32.118,242.545
111.075,390.523,395.267,31.87892,246.299
112.075,402.55,424.296,31.41091,245.172
113.075,383.907,419.912,31.07032,245.886
114.076,388.613,432.03,30.00537,230.014
115.076,402.397,407.39,30.6926,249.514
116.076,378.863,408.13,31.86576,239.602
117.076,390.511,395.836,31.52951,241.141
118.076,386.585,413.627,32.79243,240.9
119.076,377.615,405.264,32.05746,235.783
120.076,379.449,416.263,30.98745,239.81
121.076,364.06,389.027,31.39256,235.13
122.077,379.718,374.808,31.80637,241.206
123.077,374.33,385.228,31.44791,231.174
124.077,370.895,390.004,30.50338,236.365
125.076,394.41,394.194,30.28573,232.924
126.076,364.562,413.494,30.33003,239.23
127.076,356.787,406.387,30.71922,230.846
128.076,384.217,415.517,31.12482,253.067
129.076,379.819,406.253,30.56893,247.67
130.076,387.005,405.597,31.72875,247.014
131.077,391.568,393.278,31.02674,251.182
132.077,411.601,390.827,32.23594,248.869
133.077,404.627,397.404,30.55794,241.513
134.077,385.709,391.666,31.07768,225.844
135.077,395.888,393.315,31.9155,241.363
136.077,380.674,401.002,31.33474,242.091
137.077,375.042,399.257,31.61269,233.182
138.077,399.334,387.933,30.83353,239.489
139.077,390.858,392.093,31.32466,231.184
140.078,383.523,386.728,32.62096,242.532
141.078,389.657,396.008,33.10339,234.557
142.077,380.011,410.412,31.8275,252.806
143.077,391.228,400.437,31.23594,225.552
144.077,368.41,397.101,30.61293,234.863
145.077,371.55,386.346,31.99734,227.286
146.077,394.932,381.282,30.40488,233.19
147.077,365.453,382.135,31.58486,250.909
148.077,371.984,391.766,30.59126,239.477
149.078,394.328,389.362,31.3473,238.341
150.078,387.15,393.201,31.8045,245.575
151.078,363.583,387.903,31.62397,229.899
152.078,375.041,399.761,31.26111,240.742
153.078,367.193,384.545,31.28477,243.876
154.078,377.148,360.714,30.9158,243.358
155.078,375.823,374.959,31.06579,244.519
156.078,397.064,379.18,31.1253,232.967
157.078,375.776,366.908,30.361,239.222
158.079,379.402,387.539,30.44351,226.947
159.079,356.294,371.103,30.33046,231.263
160.078,381.332,363.673,30.72501,234.789
161.078,365.027,370.567,30.59138,231.987
162.078,364.39,370.806,30.38079,234.225
163.078,359.547,367.759,31.56229,231.551
164.078,357.858,377.144,31.5918,232.567
165.078,366.708,347.012,30.23388,228.615
166.078,380.21,346.824,31.17522,231.082
167.079,355.54,375.629,30.86878,233.652
168.079,357.176,351.263,31.26225,236.396
169.079,370.286,354.575,30.40234,240.364
170.079,372.079,350.206,31.02801,235.546
171.079,377.093,384.422,31.25942,224.427
172.079,361.295,345.449,30.38804,242.456
173.079,367.218,367.076,30.73672,234.021
174.079,364.658,356.854,30.8374,234.288
175.08,373.109,355.008,31.20093,245.848
176.08,358.256,368.88,30.51527,237.278
177.079,365.63,354.857,30.05764,239.824
178.079,359.163,355.812,30.2264,232.292
179.079,351.111,370.916,30.19634,230.684
180.079,353.886,358.982,30.42528,237.832
181.079,336.204,352.776,30.47942,234.788
182.079,349.707,354.464,30.53115,236.189
183.079,338.873,355.316,30.76201,227.757
184.08,355.728,347.403,29.68228,242.419
185.08,352.382,350.69,30.5446,229.817
186.08,343.863,366.568,30.8689,241.93
187.08,338.554,361.885,31.75924,227.333
188.08,371.276,363.946,31.25344,221.978
189.08,334.243,361.335,30.95884,229.477
190.08,336.274,352.577,31.28983,234.103
191.08,349.637,354.513,30.73757,225.638
192.08,333.995,360.157,30.60188,237.237
193.081,336.185,364.04,30.368,221.106
194.081,354.189,349.952,31.81386,233.415
195.08,338.295,351.72,30.45443,232.719
196.08,339.106,362.038,30.60188,242.218
197.08,340.06,354.056,30.49511,230.499
198.08,332.202,355.149,31.23002,236.12
199.08,327.699,352.512,30.93554,221.253
200.08,333.859,353.372,30.98268,213.81
201.08,348.832,348.636,30.95353,230.652
202.081,340.51,348.416,31.34554,228.276
203.081,342.633,343.247,31.44514,236.88
204.081,317.482,340.741,32.111,219.92
205.081,327.316,337.886,30.86914,234.752
206.081,327.714,362.764,30.52161,235.724
