Time,ROI,Whole,Back,,
0,408.425,156.5845,28.91004,,0
0.309,386.484,157.4621,27.28243,,0.3097
0.618,400.301,148.1765,29.49895,,0.6194
0.927,404.466,140.9525,29.19411,,0.9291
1.236,398.612,130.6703,29.32172,,1.2387
1.545,400.967,129.2269,29.05161,,1.5484
1.858,411.259,123.9468,29.20572,,1.8581
2.167,390.174,122.1862,28.09172,,2.1678
2.476,418.989,120.0638,28.9335,,2.4775
2.785,402.818,117.882,28.39984,,2.7872
3.094,397.026,111.9972,29.50528,,3.0968
3.403,407.521,108.2307,29.29545,,3.4065
3.712,405.112,107.8234,29.40793,,3.7162
4.025,416.89,101.2873,30.31703,,4.0259
4.335,405.215,99.0602,30.03624,,4.3356
4.644,402.929,101.1,30.03894,,4.6453
4.953,405.389,98.9827,29.89902,,4.9549
5.262,402.954,101.3959,29.69059,,5.2646
5.571,403.473,100.9787,30.14121,,5.5743
5.884,398.234,97.4789,29.71147,,5.884
6.323,222.19,101.255,28.71077,,6.1937
6.632,152.41,95.5398,30.23469,,6.5034
7.063,197.689,89.9739,31.26777,,6.8131
7.372,196.134,92.2387,28.56533,,7.1227
7.681,206.413,89.2454,29.07929,,7.4324
7.994,203.769,90.7425,29.47725,,7.7421
8.303,197.697,89.6627,29.37673,,8.0518
8.612,198.489,94.1182,29.83802,,8.3615
8.921,184.01,94.848,28.83627,,8.6712
9.23,202.013,91.9512,29.48112,,8.9808
9.539,202.545,91.1141,29.96188,,9.2905
9.852,212.578,87.1242,28.76191,,9.6002
10.161,213.676,86.8665,30.12644,,9.9099
10.47,199.109,90.1994,30.09172,,10.2196
10.779,208.461,89.131,30.30518,,10.5293
11.088,199.61,87.6846,30.06744,,10.8389
11.397,213.236,90.8239,29.61694,,11.1486
11.706,214.346,88.8076,29.13042,,11.4583
12.019,217.565,88.1121,29.56216,,11.768
12.328,219.315,89.7054,28.538,,12.0777
12.637,217.033,85.6827,28.78853,,12.3874
12.947,224.816,87.6537,28.87345,,12.6971
13.256,219.671,85.1524,29.81468,,13.0067
13.565,212.607,83.0959,28.91743,,13.3164
13.878,206.925,87.0953,29.83134,,13.6261
14.187,203.822,86.9402,30.63547,,13.9358
14.496,203.688,86.1607,29.49073,,14.2455
14.805,199.431,86.2738,28.64415,,14.5552
15.114,202.916,82.046,28.80401,,14.8648
15.423,201.576,88.9563,29.25311,,15.1745
15.732,214.087,84.6962,29.45954,,15.4842
16.045,221.654,84.8729,29.44335,,15.7939
16.354,214.069,82.1728,30.12773,,16.1036
16.663,213.118,81.3899,29.50493,,16.4133
16.972,223.043,79.6723,29.46927,,16.7229
17.281,205.6,82.6829,28.73117,,17.0326
17.59,217.494,81.9055,29.57037,,17.3423
17.903,229.676,82.92,28.74936,,17.652
18.212,218.194,84.1165,29.58527,,17.9617
18.521,208.149,86.483,29.26448,,18.2714
18.83,210.864,82.7639,29.71522,,18.581
19.139,219.695,83.617,28.9091,,18.8907
19.448,208.921,86.0208,29.59711,,19.2004
19.757,210.21,79.4268,29.79791,,19.5101
20.07,208.435,81.092,28.4118,,19.8198
20.379,210.726,80.0768,29.04269,,20.1295
20.688,201.428,82.468,30.09289,,20.4392
20.997,223.846,81.9598,28.84506,,20.7488
21.306,210.414,80.7026,28.34002,,21.0585
21.615,212.347,80.7648,29.98909,,21.3682
21.928,204.144,82.0424,28.92564,,21.6779
22.237,210.528,81.2509,30.55125,,21.9876
26.24,214.376,81.6489,29.6357,,22.2973
30.239,225.69,83.7824,30.14438,,22.6069
34.24,243.711,88.1807,28.8996,,22.9166
38.24,249.324,88.7979,29.57131,,23.2263
42.241,252.064,92.1879,29.26061,,23.536
46.24,251.473,88.2083,28.26507,,23.8457
50.241,253.456,86.2408,29.8745,,24.1554
54.241,263.538,85.9089,28.75147,,24.465
58.241,276.072,91.4749,29.11506,,24.7747
62.241,266.766,89.4388,30.46329,,25.0844
66.241,281.124,90.3969,28.48557,,25.3941
70.242,282.858,86.9729,27.93162,,25.7038
74.242,301.111,85.4482,28.05383,,26.0135
78.243,307.705,85.6544,27.81504,,26.3232
82.242,313.989,87.8775,29.82641,,26.6328
86.243,307.219,86.5329,28.52756,,26.9425
90.243,292.049,88.6919,28.90253,,27.2522
94.244,301.08,88.4549,27.92693,,27.5619
98.243,307.371,84.4633,27.95402,,27.8716
102.243,327.527,84.1468,27.72062,,28.1813
106.244,330.85,92.0177,27.85902,,28.4909
110.244,334.406,82.7161,27.90265,,28.8006
