[sec],Mean
NaN,1380.052
Infinity,1146.026
Infinity,944.325
Infinity,824.416
Infinity,773.987
Infinity,682.429
Infinity,650.377
Infinity,610.961
Infinity,594.571
Infinity,556.844
Infinity,579.442
Infinity,603.935
Infinity,586.091
Infinity,550.377
Infinity,530.792
Infinity,574.169
Infinity,571.558
Infinity,520.610
Infinity,556.870
Infinity,553.740
Infinity,540.779
Infinity,544.545
Infinity,556.987
Infinity,575.182
Infinity,574.987
Infinity,541.273
Infinity,475.753
Infinity,469.078
Infinity,448.481
Infinity,472.507
Infinity,498.922
Infinity,484.143
Infinity,464.338
Infinity,460.753
Infinity,434.182
Infinity,443.987
Infinity,440.390
Infinity,449.584
Infinity,448.779
Infinity,448.571
Infinity,449.156
Infinity,447.377
Infinity,453.351
Infinity,457.623
Infinity,447.701
Infinity,453.429
Infinity,439.364
Infinity,418.714
Infinity,441.286
Infinity,421.468
Infinity,426.883
Infinity,458.844
Infinity,444.182
Infinity,442.909
Infinity,422.195
Infinity,430.507
Infinity,426.883
Infinity,418.896
Infinity,402.792
Infinity,412.831
Infinity,397.987
Infinity,406.026
Infinity,396.065
Infinity,391.571
Infinity,393.740
Infinity,391.299
Infinity,389.883
Infinity,394.078
Infinity,396.545
Infinity,410.260
Infinity,417.390
Infinity,417.182
Infinity,409.143
Infinity,395.481
Infinity,399.714
Infinity,386.584
Infinity,391.312
Infinity,387.143
Infinity,395.208
Infinity,384.519
Infinity,394.377
Infinity,399.792
Infinity,391.662
Infinity,390.065
Infinity,389.182
Infinity,392.195
Infinity,376.987
Infinity,379.182
Infinity,377.013
Infinity,369.000
Infinity,373.766
Infinity,368.338
Infinity,365.403
Infinity,362.442
Infinity,369.351
Infinity,373.519
Infinity,362.351
Infinity,363.857
Infinity,359.753
Infinity,360.831
Infinity,371.532
Infinity,365.273
Infinity,365.273
Infinity,371.701
Infinity,360.507
Infinity,364.416
Infinity,366.195
Infinity,362.416
Infinity,361.195
Infinity,359.078
Infinity,352.338
Infinity,356.662
Infinity,363.870
Infinity,368.403
Infinity,370.442
Infinity,354.545
Infinity,368.883
Infinity,360.104
Infinity,357.844
Infinity,358.403
Infinity,347.481
