[sec],Mean
0,17.24984
1,17.51580
2,17.63073
3,17.28501
4,17.40294
5,17.16623
6,17.03118
7,17.02426
8,16.79082
9,15.95284
10,16.05294
11,15.78020
12,15.55390
13,15.63787
14,15.11301
15,14.80395
16,14.67782
17,14.95434
18,14.71099
19,14.38332
20,14.33096
21,13.70329
22,13.76750
23,13.96683
24,13.32311
25,13.43462
26,13.24235
27,12.99137
28,12.79461
29,13.20504
30,12.94571
31,12.85589
32,12.71570
33,12.71171
34,12.46743
35,12.91068
36,12.63380
37,12.81801
38,12.44739
39,12.29471
40,12.22901
41,12.18720
42,12.10694
43,12.23436
44,12.27281
45,11.94507
46,12.19412
47,12.15360
48,12.02675
49,12.15973
50,12.03360
51,11.80973
52,12.34294
53,12.37947
54,12.13484
55,12.14140
56,12.21089
57,12.15296
58,12.12014
59,12.12991
60,12.37947
61,11.96305
62,11.94699
63,12.11015
64,12.13905
65,12.24535
66,11.90861
67,12.25505
68,12.26603
69,12.09524
70,12.14454
71,12.37504
72,12.11679
73,12.10716
74,12.14896
75,12.16544
76,12.45901
77,12.13562
78,12.37062
79,12.12813
80,12.33388
81,12.22344
82,12.21410
83,12.36791
84,12.16031
85,12.30791
86,12.21545
87,11.79132
88,12.01677
89,12.07013
90,11.99237
91,12.17250
92,12.27345
93,12.16651
94,12.07805
95,12.31704
96,12.26932
97,12.20061
98,12.20682
99,11.96889
100,12.25997
101,12.24691
102,12.15274
103,12.26382
104,12.35749
105,12.24306
106,12.23293
107,11.89705
108,12.20511
109,12.31933
110,12.22202
111,11.99986
112,12.17393
113,12.30249
114,12.19120
115,12.17358
116,12.41485
117,12.07206
118,11.92345
119,12.07562
120,11.97196
121,12.04973
122,12.05008
123,11.96497
124,12.27517
125,11.94714
126,11.96276
127,12.17536
128,11.92060
129,11.95627
130,12.14682
131,11.88885
132,12.03132
133,12.29136
134,12.15624
135,12.32061
136,12.19969
137,12.27609
138,12.41607
139,12.48655
140,12.20711
141,12.30042
142,12.30121
143,12.33367
144,12.24278
145,11.97610
146,12.28993
147,12.16665
148,12.08219
149,12.21788
150,12.13348
151,12.08561
152,11.93836
153,12.29550
154,12.07997
155,11.76921
156,11.94114
157,12.25412
158,12.20789
159,12.06984
160,12.00763
161,12.08183
162,12.11500
163,12.21460
164,11.93009
165,12.00086
166,11.89770
167,11.82906
168,11.68859
169,11.88457
170,11.92388
171,11.91646
172,12.22993
173,12.01327
174,12.22794
175,12.01191
176,12.03367
177,12.03788
178,11.99444
179,11.90069
180,11.92588
181,11.89927
182,11.77199
183,11.96283
184,11.85960
185,11.85653
186,11.86673
187,11.82357
188,11.78733
189,11.98088
190,12.00457
191,11.92959
192,11.97931
193,11.86730
194,12.02633
195,12.18050
196,11.94207
197,11.97396
198,12.01291
199,11.78476
200,12.01869
201,12.07898
202,11.88450
203,11.95698
204,11.93636
205,11.99387
206,11.76964
207,11.98794
208,11.91724
209,11.99037
210,11.82357
211,12.11379
212,11.90290
213,11.96961
214,11.71642
215,11.60726
216,11.74838
217,11.83406
218,11.41671
219,11.41036
220,11.46508
221,11.47400
222,11.46379
223,11.53485
224,11.59021
225,11.56695
226,11.60883
227,11.51174
228,11.56617
229,11.63430
230,11.77813
231,11.51309
232,11.57452
233,11.64122
234,11.83085
235,11.84868
236,11.66277
237,11.74024
238,11.70857
239,11.86395
240,11.71335
241,11.66013
242,11.79596
243,11.66063
244,11.79489
245,11.81023
246,11.83648
247,11.78997
248,11.69879
249,11.79425
250,10.09909
251,11.76828
252,11.79297
253,11.61618
254,11.72626
255,11.60776
256,11.30042
257,11.06842
258,11.27631
259,11.35421
260,11.30656
261,11.35393
262,11.09446
263,11.32475
264,11.00392
265,11.25276
266,11.19084
267,11.02839
268,11.08961
269,10.99073
270,11.20497
271,11.39402
272,11.45973
273,11.64008
274,11.54056
275,11.30520
276,11.40729
277,11.36549
278,11.37283
279,11.43497
280,11.52472
281,11.49076
282,11.59442
283,11.43419
284,11.36377
285,11.41385
286,11.39167
287,11.49090
288,11.51017
289,11.19719
290,11.39773
291,11.37576
292,11.34722
293,11.08747
294,11.14761
295,11.38261
296,11.29650
297,11.42391
298,11.31711
299,11.16822
300,11.34315
