[sec],Mean
0,337.155
1,334.664
2,330.418
3,323.727
4,321.227
5,313.809
6,309.582
7,307.236
8,304.382
9,300.991
10,301.173
11,307.609
12,310.109
13,315.573
14,318.473
15,323.155
16,324.891
17,329.873
18,336.809
19,335.109
20,340.891
21,343.827
22,342.118
23,346.518
24,348.927
25,351.182
26,353.655
27,356.018
28,360.364
29,361.409
30,370.909
31,369.255
32,370.518
33,373.100
34,378.445
35,374.209
36,387.073
37,379.555
38,386.518
39,381.200
40,390.673
41,388.027
42,396.355
43,389.636
44,390.936
45,388.373
46,390.427
47,394.573
48,401.191
49,396.282
50,401.609
51,405.091
52,401.782
53,401.600
54,407.782
55,402.645
56,409.173
57,409.291
58,411.927
59,406.736
60,415.564
61,410.927
62,411.409
63,411.118
64,419.345
65,420.845
66,415.609
67,421.727
68,419.855
69,416.300
70,421.209
71,417.791
72,420.009
73,423.336
74,423.827
75,427.218
76,425.373
77,423.282
78,417.427
79,434.500
80,432.118
81,438.555
82,430.182
83,430.736
84,430.664
85,432.391
86,426.264
87,430.445
88,436.809
89,434.782
90,432.473
91,427.436
92,430.564
93,431.864
94,432.045
95,433.255
96,440.655
97,433.882
98,437.673
99,438.909
100,432.627
101,440.500
102,433.236
103,431.264
104,434.127
105,434.682
106,435.164
107,431.473
108,443.500
109,442.873
110,439.791
111,435.755
112,439.227
113,444.136
114,445.655
115,432.782
116,436.809
117,445.173
118,435.655
119,435.055
120,443.718
121,433.055
122,437.400
123,438.100
124,439.345
125,432.073
126,441.455
127,434.555
128,434.091
129,443.309
130,442.573
131,441.445
132,444.055
133,442.809
134,439.155
135,447.982
136,438.300
137,442.336
138,448.491
139,447.709
140,441.036
141,441.336
142,438.791
143,442.573
144,451.982
145,445.255
146,448.073
147,445.836
148,442.782
149,439.473
150,444.955
151,443.964
152,443.936
153,439.391
154,441.127
155,442.982
156,446.309
157,434.918
158,441.891
159,444.609
160,439.164
161,440.682
162,440.727
163,435.691
164,445.482
165,445.600
166,445.673
167,441.155
168,443.727
169,436.309
170,438.418
171,444.582
172,445.164
173,437.418
174,444.055
175,429.136
176,435.500
177,435.409
178,434.264
179,438.018
180,440.864
181,429.800
182,434.709
183,429.727
184,429.455
185,424.836
186,431.627
187,432.982
188,426.482
189,433.600
190,430.900
191,432.036
192,433.882
193,438.527
194,430.855
195,440.036
196,430.345
197,434.618
198,428.391
199,428.018
200,428.064
201,430.073
202,432.373
203,427.218
204,430.427
205,429.200
206,434.191
207,430.027
208,435.118
209,429.409
210,432.345
211,430.573
212,432.445
213,436.873
214,425.418
215,430.000
216,421.873
217,432.664
218,431.300
219,432.082
220,433.282
221,429.109
222,433.936
223,428.473
224,421.127
225,420.973
226,430.155
227,427.982
228,427.936
229,421.945
230,425.364
231,421.864
232,417.391
233,422.318
234,422.500
235,421.691
236,421.100
237,424.691
238,428.445
239,428.973
240,426.845
241,429.100
242,422.718
243,419.500
244,426.491
245,425.782
246,423.855
247,421.618
248,422.182
249,420.736
250,419.191
251,427.573
252,421.264
253,417.055
254,425.382
255,422.691
256,424.018
257,429.055
258,427.100
259,420.564
260,421.800
261,422.273
262,419.927
263,420.627
264,425.409
265,426.882
266,424.218
267,418.582
268,419.700
269,417.427
270,415.536
271,420.373
272,419.964
273,412.000
274,420.709
275,418.936
276,415.745
277,421.245
278,419.309
279,418.873
280,413.500
281,417.300
282,416.636
283,406.782
284,410.536
285,416.336
286,411.709
287,422.118
288,412.000
289,417.718
290,411.645
291,415.964
292,406.436
293,413.118
294,413.182
295,408.009
296,413.318
297,416.418
298,415.364
299,411.045
300,408.636
