Frame,Mean
0,728.611
1,721.750
2,719.611
3,741.806
4,724.819
5,743.639
6,726.931
7,708.125
8,682.111
9,640.819
10,645.389
11,637.389
12,684.708
13,674.472
14,665.806
15,688.722
16,695.375
17,710.389
18,721.264
19,717.139
20,723.125
21,744.917
22,758.972
23,763.083
24,771.792
25,777.736
26,780.528
27,796.625
28,822.431
29,805.611
30,814.944
31,839.903
32,826.083
33,830.569
34,861.792
35,863.083
36,874.333
37,882.319
38,889.861
39,887.375
40,889.917
41,894.403
42,898.500
43,915.486
44,902.694
45,921.431
46,924.000
47,929.917
48,940.611
49,945.667
50,941.653
51,957.764
52,972.056
53,968.556
54,978.042
55,980.597
56,968.986
57,976.778
58,988.486
59,984.264
60,993.903
61,985.917
62,1000.222
63,1008.694
64,1003.069
65,1011.486
66,1020.486
67,1014.750
68,1016.653
69,1027.583
70,1026.875
71,1029.403
72,1038.208
73,1028.333
74,1025.986
75,1043.444
76,1044.319
77,1048.917
78,1047.458
79,1063.958
80,1067.806
81,1062.806
82,1058.625
83,1063.014
84,1069.875
85,1069.847
86,1075.736
87,1086.347
88,1090.500
89,1101.847
90,1090.722
91,1102.778
92,1111.486
93,1106.472
94,1088.847
95,1091.569
96,1110.889
97,1095.611
98,1109.333
99,1123.569
100,1106.250
101,1117.833
102,1123.417
103,1125.292
104,1113.097
105,1118.681
106,1146.611
107,1133.583
108,1148.931
109,1135.958
110,1154.431
111,1143.931
112,1139.542
113,1115.833
114,1149.250
115,1142.333
116,1145.806
117,1157.111
118,1158.569
119,1151.306
120,1167.778
121,1151.389
122,1165.306
123,1165.736
124,1155.889
125,1154.097
126,1160.764
127,1170.667
128,1175.125
129,1166.903
130,1176.653
131,1156.556
132,1174.972
133,1172.847
134,1173.625
135,1200.292
136,1186.000
137,1197.986
138,1189.972
139,1193.653
140,1179.750
141,1197.889
142,1197.514
143,1193.528
144,1217.208
145,1206.431
146,1224.222
147,1210.458
148,1202.264
149,1217.208
150,1214.458
151,1218.917
152,1214.319
153,1235.972
154,1216.500
155,1235.194
156,1240.222
157,1215.375
158,1229.389
159,1246.833
160,1236.569
161,1236.944
162,1244.681
163,1234.875
164,1250.889
165,1257.944
166,1250.000
167,1270.389
168,1247.875
169,1250.653
170,1251.417
171,1261.653
172,1248.403
173,1244.083
174,1249.389
175,1256.875
176,1245.042
177,1264.569
178,1241.250
179,1259.236
180,1283.625
181,1266.222
182,1256.111
183,1256.972
184,1266.722
185,1262.417
186,1269.319
187,1259.736
188,1255.736
189,1277.778
190,1258.194
191,1262.028
192,1277.597
193,1256.208
194,1278.972
195,1276.903
196,1260.653
197,1266.208
198,1261.319
199,1274.542
200,1286.264
201,1272.375
202,1277.278
203,1262.792
204,1272.403
205,1274.778
206,1271.083
207,1260.736
208,1249.167
209,1252.958
210,1255.736
211,1256.000
212,1281.681
213,1291.250
214,1274.917
215,1290.278
216,1273.139
217,1268.569
218,1277.458
219,1279.181
220,1256.500
221,1280.542
222,1275.000
223,1242.583
224,1280.264
225,1270.764
226,1261.306
227,1273.722
228,1266.403
229,1278.597
230,1276.208
231,1276.069
232,1262.264
233,1285.569
234,1298.903
235,1281.278
236,1300.458
237,1306.569
238,1292.431
239,1280.000
240,1309.500
241,1291.931
242,1307.597
243,1314.667
244,1288.306
245,1302.000
246,1299.569
247,1295.222
248,1291.708
249,1286.139
250,1303.444
251,1302.917
252,1293.611
253,1310.458
254,1286.931
255,1285.417
256,1300.389
257,1286.208
258,1316.736
259,1283.694
260,1284.847
261,1287.069
262,1262.667
263,1235.264
264,1241.764
265,1252.292
266,1242.500
267,1232.042
268,1227.569
269,1230.347
270,1226.611
271,1214.542
272,1207.472
273,1225.972
274,1223.194
275,1232.806
276,1249.667
277,1252.875
278,1260.403
279,1254.778
280,1259.917
281,1234.361
282,1249.625
283,1249.653
284,1229.375
285,1231.958
286,1236.361
287,1230.889
288,1246.375
289,1244.389
290,1218.694
291,1206.681
