Frame,Mean
0,33.8465
1,33.9888
2,34.0042
3,34.2594
4,34.2475
5,34.3545
6,34.3069
7,34.1881
8,33.9545
9,33.9264
10,33.5458
11,33.3387
12,33.1534
13,32.9034
14,32.7507
15,32.4926
16,32.1910
17,31.8348
18,31.5958
19,31.4579
20,31.2474
21,30.9973
22,30.8867
23,30.6159
24,30.4821
25,30.1173
26,29.9536
27,29.6919
28,29.4624
29,29.1203
30,29.0611
31,28.9560
32,28.7496
33,28.5880
34,28.4696
35,28.2462
36,28.1933
37,28.0587
38,27.9215
39,27.7187
40,27.6124
41,27.3965
42,27.4029
43,27.2273
44,27.0406
45,27.0698
46,26.9475
47,26.7881
48,26.8405
49,26.5732
50,26.4495
51,26.4800
52,26.3981
53,26.2110
54,26.2451
55,25.9613
56,25.8825
57,25.8942
58,25.8808
59,25.6997
60,25.7202
61,25.5340
62,25.4929
63,25.5244
64,25.4400
65,25.2958
66,25.2297
67,25.1492
68,25.1286
69,25.0045
70,24.8974
71,24.8307
72,24.6749
73,24.4887
74,24.3590
75,24.4445
76,24.4599
77,24.3789
78,24.4057
79,24.3816
80,24.2878
81,24.1161
82,24.0327
83,24.0990
84,23.9164
85,23.8367
86,23.8726
87,23.7126
88,23.6484
89,23.5005
90,23.4704
91,23.4747
92,23.5486
93,23.4423
94,23.3357
95,23.1683
96,22.9854
97,23.0033
98,23.0217
99,23.1252
100,22.9336
101,22.8321
102,22.7227
103,22.6911
104,22.6866
105,22.6761
106,22.6011
107,22.5078
108,22.5894
109,22.4988
110,22.5132
111,22.5046
112,22.2738
113,22.1472
114,22.2208
115,22.1352
116,22.1749
117,22.1628
118,22.0698
119,22.0627
120,22.1597
121,22.0045
122,21.9418
123,21.9414
124,21.9078
125,21.7957
126,21.7500
127,21.7878
128,21.8885
129,21.8658
130,21.9066
131,21.8830
132,21.8652
133,21.8249
134,21.8076
135,21.7523
136,21.7109
137,21.7343
138,21.6888
139,21.6135
140,21.6322
141,21.5337
142,21.4844
143,21.5123
144,21.5170
145,21.3974
146,21.3533
147,21.4554
148,21.4574
149,21.4083
150,21.3837
151,21.3499
152,21.3633
153,21.4073
154,21.2401
155,21.2613
156,21.3115
157,21.3329
158,21.3048
159,21.3571
160,21.3708
161,21.2701
162,21.3300
163,21.3377
164,21.3300
165,21.3641
166,21.2872
167,21.3358
168,21.2876
169,21.2132
170,21.1470
171,21.1546
172,21.1134
173,21.1185
174,21.2276
175,21.1922
176,21.1318
177,21.1839
178,21.0410
179,21.0243
180,21.0760
181,21.0349
182,20.9618
183,20.8908
184,20.8410
185,20.7794
186,20.8448
187,20.7427
188,20.8200
189,20.8874
190,20.7230
191,20.6875
192,20.7003
193,20.7701
194,20.8254
195,20.7602
196,20.7873
197,20.8673
198,20.9347
199,20.8577
200,20.8318
201,20.7721
202,20.7953
203,20.7341
204,20.7354
205,20.6879
206,20.7561
207,20.6599
208,20.6956
209,20.7477
210,20.7157
211,20.7672
212,20.6170
213,20.5229
214,20.4368
215,20.4951
216,20.4920
217,20.2862
218,20.3026
219,20.3009
220,20.1729
221,20.1396
222,20.2032
223,20.1115
224,20.0274
225,19.9861
226,20.0832
227,20.0816
228,20.1250
229,20.1174
230,20.0485
231,20.0587
232,19.9981
233,20.0274
234,20.0548
235,19.9039
236,19.9248
237,19.8863
238,19.9171
239,19.9168
240,19.8594
241,19.7526
242,19.7678
243,19.7607
244,19.7279
245,19.7306
246,19.7877
247,19.7626
248,19.8052
249,19.6877
250,19.7337
251,19.6914
252,19.7145
253,19.7104
254,19.7023
255,19.7198
256,19.7125
257,19.7499
258,19.7295
259,19.7398
260,19.7262
261,19.7198
262,19.7026
263,19.7426
264,19.6800
265,19.6889
266,19.6536
267,19.5558
268,19.5118
269,19.6439
270,19.6024
271,19.5299
272,19.5165
273,19.4473
274,19.4138
275,19.3039
276,19.3511
277,19.3578
278,19.3148
279,19.2908
280,19.3726
281,19.3211
282,19.2641
283,19.1265
284,19.2008
285,19.2102
286,19.2163
287,19.1235
288,19.1124
289,19.1679
290,19.0552
291,19.0997
