[sec],Mean
0,15.63351
1,15.78577
2,15.82017
3,15.79493
4,15.70182
5,15.66112
6,15.73161
7,15.61295
8,15.44372
9,15.40987
10,15.25774
11,15.19445
12,15.01505
13,14.98942
14,14.88155
15,14.81457
16,14.67444
17,14.64356
18,14.49919
19,14.38066
20,14.32865
21,14.21898
22,14.13865
23,14.02896
24,13.94253
25,13.82376
26,13.73698
27,13.69498
28,13.65647
29,13.53002
30,13.47636
31,13.44479
32,13.34387
33,13.27438
34,13.22419
35,13.12500
36,13.10647
37,13.11201
38,12.98376
39,13.00310
40,12.94671
41,12.85642
42,12.86569
43,12.82543
44,12.78873
45,12.75864
46,12.70695
47,12.64064
48,12.61281
49,12.57472
50,12.52847
51,12.50239
52,12.45457
53,12.45515
54,12.33757
55,12.36230
56,12.25897
57,12.30645
58,12.29897
59,12.24794
60,12.21920
61,12.14864
62,12.10942
63,12.07305
64,12.06135
65,12.07218
66,12.06518
67,12.02651
68,12.01993
69,11.98672
70,12.02668
71,11.98624
72,11.97188
73,11.94404
74,11.91868
75,11.87744
76,11.94356
77,11.94130
78,11.80793
79,11.79970
80,11.80582
81,11.79152
82,11.72757
83,11.74364
84,11.62624
85,11.72446
86,11.67456
87,11.62920
88,11.61942
89,11.58039
90,11.55462
91,11.55675
92,11.55582
93,11.54061
94,11.51175
95,11.48464
96,11.44149
97,11.51513
98,11.45531
99,11.40509
100,11.46083
101,11.42520
102,11.47345
103,11.52421
104,11.51345
105,11.40457
106,11.39453
107,11.36956
108,11.40598
109,11.39345
110,11.41656
111,11.36859
112,11.38026
113,11.39120
114,11.29902
115,11.30368
116,11.33302
117,11.31898
118,11.31302
119,11.27344
120,11.32080
121,11.27644
122,11.22581
123,11.23308
124,11.26501
125,11.26382
126,11.23335
127,11.25107
128,11.20671
129,11.20992
130,11.23617
131,11.17885
132,11.22917
133,11.20424
134,11.18392
135,11.20523
136,11.14467
137,11.16246
138,11.17078
139,11.14463
140,11.12615
141,11.15228
142,11.20249
143,11.11838
144,11.16630
145,11.20403
146,11.21294
147,11.14933
148,11.15464
149,11.13776
150,11.17055
151,11.11372
152,11.10944
153,11.10338
154,11.14944
155,11.08204
156,11.12017
157,11.08955
158,11.08973
159,11.05114
160,11.01985
161,11.03664
162,11.02186
163,11.02313
164,11.01611
165,11.05237
166,11.03010
167,11.01915
168,11.00287
169,11.01064
170,11.00586
171,10.99120
172,10.97775
173,10.94939
174,11.01361
175,10.96915
176,10.95555
177,10.91752
178,10.96452
179,10.95758
180,10.99061
181,11.00255
182,10.94635
183,10.93309
184,11.00280
185,10.96019
186,10.96830
187,10.94197
188,10.90957
189,10.97847
190,10.97410
191,10.96719
192,10.94036
193,10.94701
194,10.90674
195,10.92342
196,10.91555
197,10.92630
198,10.93169
199,10.95165
200,10.93183
201,10.95181
202,10.97105
203,10.91265
204,10.90777
205,10.92229
206,10.91208
207,10.91409
208,10.92086
209,10.92640
210,10.91969
211,10.88707
212,10.92409
213,10.89929
214,10.88948
215,10.91212
216,10.91780
217,10.90885
218,10.89221
219,10.90243
220,10.88254
221,10.91017
222,10.87167
223,10.89188
224,10.89058
225,10.89653
226,10.87264
227,10.83906
228,10.87253
229,10.89144
230,10.86989
231,10.87232
232,10.86601
233,10.85329
234,10.84444
235,10.83684
236,10.83586
237,10.79848
238,10.79110
239,10.79891
240,10.80213
241,10.81268
242,10.76617
243,10.80196
244,10.80131
245,10.79909
246,10.80611
247,10.77109
248,10.83298
249,10.81381
250,9.42353
251,10.82521
252,10.83234
253,10.81966
254,10.83337
255,10.80744
256,10.79400
257,10.78832
258,10.79997
259,10.81554
260,10.81335
261,10.77410
262,10.77639
263,10.79415
264,10.80556
265,10.80414
266,10.76157
267,10.76851
268,10.74778
269,10.77188
270,10.75016
271,10.80424
272,10.78982
273,10.77510
274,10.81588
275,10.81926
276,10.81660
277,10.79834
278,10.75135
279,10.80582
280,10.78873
281,10.76929
282,10.76968
283,10.79162
284,10.76429
285,10.77529
286,10.73351
287,10.78070
288,10.79624
289,10.77608
290,10.76090
291,10.82157
292,10.74120
293,10.76598
294,10.74526
295,10.73580
296,10.70932
297,10.72615
298,10.70394
299,10.68878
300,10.64142
