[sec],Mean
0,16.27660
1,16.41191
2,16.43278
3,16.40700
4,16.39513
5,16.35839
6,16.38615
7,16.32938
8,16.15096
9,16.10986
10,15.98322
11,15.90238
12,15.75884
13,15.71214
14,15.63783
15,15.55968
16,15.41696
17,15.38311
18,15.27094
19,15.14177
20,15.07992
21,14.98947
22,14.86594
23,14.80945
24,14.72384
25,14.60872
26,14.53776
27,14.50015
28,14.43250
29,14.34050
30,14.31343
31,14.23948
32,14.18134
33,14.09490
34,14.04487
35,13.96076
36,13.97135
37,13.93823
38,13.86436
39,13.87488
40,13.81897
41,13.77141
42,13.75769
43,13.69730
44,13.66424
45,13.67529
46,13.58428
47,13.53589
48,13.48526
49,13.43158
50,13.41829
51,13.42398
52,13.36596
53,13.32824
54,13.26796
55,13.24409
56,13.17285
57,13.19479
58,13.15423
59,13.17678
60,13.14118
61,13.07839
62,13.03480
63,13.01867
64,12.98528
65,13.00037
66,12.99154
67,12.92449
68,12.96112
69,12.91397
70,12.90651
71,12.88472
72,12.83706
73,12.81285
74,12.77010
75,12.74693
76,12.75967
77,12.72896
78,12.64418
79,12.60128
80,12.62815
81,12.60655
82,12.52888
83,12.57405
84,12.48882
85,12.50809
86,12.50147
87,12.46512
88,12.44582
89,12.43494
90,12.40727
91,12.38297
92,12.36503
93,12.33751
94,12.27547
95,12.27677
96,12.22372
97,12.27067
98,12.24896
99,12.21914
100,12.23603
101,12.22291
102,12.22056
103,12.24091
104,12.22300
105,12.12305
106,12.10599
107,12.11774
108,12.13348
109,12.10909
110,12.10446
111,12.08151
112,12.05681
113,12.07164
114,12.00250
115,11.99548
116,12.00143
117,12.01367
118,11.99400
119,11.97945
120,12.02058
121,11.96123
122,11.92875
123,11.91595
124,11.93455
125,11.92033
126,11.88575
127,11.89495
128,11.85444
129,11.87352
130,11.88653
131,11.87665
132,11.88796
133,11.85692
134,11.85237
135,11.83169
136,11.79546
137,11.81659
138,11.80197
139,11.78912
140,11.77319
141,11.76019
142,11.77297
143,11.73938
144,11.78400
145,11.77473
146,11.81800
147,11.73529
148,11.74957
149,11.74872
150,11.76906
151,11.70016
152,11.72604
153,11.70405
154,11.71705
155,11.70513
156,11.72286
157,11.69277
158,11.70775
159,11.68792
160,11.63518
161,11.67352
162,11.65059
163,11.66479
164,11.67016
165,11.68104
166,11.65530
167,11.66908
168,11.61067
169,11.60117
170,11.63460
171,11.61121
172,11.58237
173,11.55358
174,11.60090
175,11.55850
176,11.54553
177,11.53241
178,11.55641
179,11.58274
180,11.58651
181,11.58003
182,11.54863
183,11.52543
184,11.55382
185,11.52953
186,11.52937
187,11.52546
188,11.51100
189,11.54961
190,11.51255
191,11.52648
192,11.49291
193,11.51301
194,11.47827
195,11.47228
196,11.45054
197,11.47365
198,11.48853
199,11.49464
200,11.47525
201,11.50725
202,11.49143
203,11.46093
204,11.44131
205,11.40857
206,11.42101
207,11.40142
208,11.41164
209,11.39891
210,11.38848
211,11.33871
212,11.37985
213,11.33634
214,11.31246
215,11.36212
216,11.34233
217,11.34048
218,11.33172
219,11.31165
220,11.31971
221,11.31643
222,11.28086
223,11.30400
224,11.31158
225,11.28698
226,11.26856
227,11.26946
228,11.28050
229,11.27407
230,11.28521
231,11.28362
232,11.26955
233,11.29826
234,11.24666
235,11.24456
236,11.26531
237,11.20217
238,11.15595
239,11.19866
240,11.17790
241,11.19508
242,11.18577
243,11.21018
244,11.21133
245,11.18501
246,11.19607
247,11.16018
248,11.20812
249,11.18327
250,9.61997
251,11.19215
252,11.19365
253,11.16925
254,11.20388
255,11.17970
256,11.16605
257,11.15520
258,11.15511
259,11.16203
260,11.16163
261,11.11714
262,11.10046
263,11.13491
264,11.14445
265,11.12992
266,11.11043
267,11.09173
268,11.08168
269,11.11989
270,11.09136
271,11.12063
272,11.10810
273,11.09696
274,11.10962
275,11.10679
276,11.11327
277,11.10973
278,11.07139
279,11.08317
280,11.07299
281,11.09049
282,11.07687
283,11.07499
284,11.05925
285,11.04755
286,10.98002
287,11.04042
288,11.04245
289,11.02186
290,11.03877
291,11.06174
292,11.02438
293,11.03613
294,11.05755
295,11.03513
296,11.02657
297,11.03666
298,10.99356
299,11.00591
300,10.98127
