[sec],Mean
0,294.5287
1,260.2356
2,239.2931
3,232.7241
4,228.2069
5,226.4081
6,224.5115
7,224.2241
8,223.4023
9,225.1264
10,226.3046
11,231.0805
12,226.9598
13,229.7356
14,229.4828
15,228.8391
16,231.2644
17,233.1207
18,232.5747
19,233.7701
20,234.6494
21,237.7759
22,237.5000
23,244.4195
24,240.5747
25,243.6379
26,242.3908
27,248.1379
28,247.8103
29,247.0805
30,253.2988
31,250.3736
32,247.2126
33,245.4828
34,250.4942
35,252.0690
36,251.0862
37,253.2644
38,255.2529
39,259.6092
40,253.9310
41,258.6552
42,262.2816
43,254.1092
44,260.2701
45,260.8218
46,256.7471
47,259.1552
48,258.6494
49,261.2758
50,260.5115
51,259.3448
52,265.9943
53,261.4310
54,266.9540
55,262.5632
56,263.0862
57,265.4713
58,263.8736
59,264.1782
