[sec],Mean
0,3117.274
1,3178.852
2,3161.956
3,3167.504
4,3123.363
5,3097.585
6,3090.222
7,3081.533
8,3048.533
9,3048.978
10,3001.007
11,3074.193
12,3049.208
13,3014.118
14,2976.363
15,2939.244
16,2950.267
17,2945.118
18,2947.652
19,2906.756
20,2910.259
21,2931.519
22,2924.600
23,2896.044
24,2916.067
25,2857.711
26,2834.867
27,2874.941
28,2838.593
29,2834.970
30,2819.570
31,2864.637
32,2860.333
33,2869.489
34,2826.489
35,2791.585
36,2785.570
37,2770.733
38,2776.096
39,2800.726
40,2768.326
41,2786.867
42,2801.593
43,2795.104
44,2749.763
45,2767.563
46,2731.326
47,2675.778
48,2736.311
49,2701.193
50,2686.830
51,2757.896
52,2727.378
53,2726.022
54,2751.844
55,2695.867
56,2725.437
57,2728.941
58,2717.059
59,2708.215
60,2715.681
61,2751.059
62,2714.059
63,2732.489
64,2687.741
65,2689.111
66,2710.926
67,2692.096
68,2660.970
69,2683.911
70,2671.459
71,2680.607
72,2691.326
73,2703.259
74,2668.437
75,2664.963
76,2642.355
77,2659.370
78,2646.770
79,2637.163
80,2628.800
81,2666.304
82,2655.422
83,2635.807
84,2659.111
85,2646.637
86,2677.133
87,2659.193
88,2607.533
89,2639.044
90,2623.370
91,2668.007
92,2655.393
93,2632.178
94,2604.674
95,2577.622
96,2593.726
97,2579.244
98,2591.630
99,2607.978
100,2584.956
101,2594.844
102,2599.407
103,2588.489
104,2584.437
105,2560.792
106,2534.141
107,2553.874
108,2534.600
109,2566.882
110,2541.333
111,2587.304
112,2537.400
113,2532.689
114,2549.281
115,2517.148
116,2544.726
117,2527.422
118,2507.170
119,2542.156
120,2502.244
121,2521.696
122,2511.911
123,2510.378
124,2481.259
125,2489.437
126,2474.163
127,2447.230
128,2470.607
129,2497.963
130,2453.185
131,2464.082
132,2460.259
133,2430.696
134,2431.748
135,2449.911
136,2413.215
137,2432.111
138,2416.363
139,2402.430
140,2423.208
141,2441.370
142,2426.481
143,2430.141
144,2404.230
145,2358.926
146,2370.348
147,2375.052
148,2339.770
149,2329.378
150,2372.000
151,2386.696
152,2385.259
153,2379.141
154,2376.844
155,2355.696
156,2353.926
157,2339.044
158,2331.926
159,2347.267
160,2317.563
161,2348.748
162,2368.393
163,2322.645
164,2342.000
165,2362.985
166,2300.511
167,2316.696
168,2316.185
169,2294.681
170,2302.407
171,2322.904
172,2304.481
173,2316.689
174,2296.778
175,2267.533
176,2269.400
177,2250.355
178,2235.370
179,2265.074
180,2238.963
181,2267.659
182,2238.208
183,2215.918
184,2219.208
185,2224.637
186,2237.104
187,2193.096
188,2211.037
189,2224.844
190,2232.874
191,2238.252
192,2241.096
193,2207.104
194,2223.059
195,2256.837
196,2221.541
197,2234.415
198,2234.756
199,2216.770
200,2226.444
201,2255.822
202,2218.170
203,2218.467
204,2204.067
205,2198.570
206,2208.733
207,2182.741
208,2175.918
209,2192.437
210,2157.200
211,2185.274
212,2180.541
213,2219.896
214,2158.852
215,2179.244
216,2182.252
217,2184.363
218,2169.933
219,2187.770
220,2180.082
221,2199.156
222,2181.704
223,2141.637
224,2158.933
225,2167.407
226,2159.311
227,2149.770
228,2136.526
229,2122.208
230,2134.274
231,2178.230
232,2149.541
233,2138.230
234,2122.200
235,2114.311
236,2114.896
237,2102.208
238,2082.556
239,2108.792
240,2102.941
241,2137.911
242,2127.481
243,2106.630
244,2099.378
245,2115.689
246,2099.733
247,2108.807
248,2118.733
249,2087.326
250,2098.926
251,2124.096
252,2109.593
253,2100.156
254,2105.985
255,2089.770
256,2083.415
257,2093.667
258,2094.667
259,2092.319
260,2095.481
261,2136.822
262,2102.007
263,2133.452
264,2111.822
265,2114.867
266,2136.496
267,2095.867
268,2096.274
269,2110.526
270,2086.096
271,2118.252
272,2130.267
273,2111.148
274,2095.993
275,2121.489
276,2090.222
277,2102.355
278,2115.348
279,2099.563
280,2088.822
281,2094.304
282,2098.400
283,2067.822
284,2091.333
285,2060.711
286,2053.467
287,2091.348
288,2071.874
289,2049.244
290,2057.904
291,2067.355
292,2053.007
293,2055.689
294,2036.867
295,2022.111
296,2039.615
297,2035.793
298,2013.104
299,2026.356
300,2017.356
301,2067.667
302,2068.622
303,2025.570
304,2052.133
305,2043.570
306,2022.133
307,2038.259
308,2067.104
309,2036.059
310,2031.904
311,2051.570
312,2066.252
313,2051.526
314,2054.459
315,2028.296
316,2016.222
317,2057.511
318,2022.119
319,2022.748
320,2039.237
321,2047.585
322,2002.578
323,2011.326
324,1999.407
325,2009.370
326,2031.341
327,1985.519
328,1974.689
329,2016.422
330,2009.741
331,2010.585
332,2027.385
333,2031.415
334,2019.074
335,2024.815
336,2022.889
337,2026.341
338,2011.037
339,2009.704
340,2005.593
341,2032.652
342,2052.504
343,2043.007
344,2047.244
345,2036.081
346,2012.067
347,2050.719
348,1998.252
349,1987.741
350,2027.096
351,2008.156
352,2001.667
353,1999.230
354,1976.526
355,1977.696
356,1983.963
357,1983.941
358,1967.363
359,1960.844
360,1968.222
361,2003.378
362,1986.933
363,1998.563
364,1971.237
365,1987.719
366,1957.881
367,1972.074
368,2004.244
369,1977.163
370,1973.126
371,1972.963
372,1948.259
373,1972.859
374,1987.874
375,1953.911
376,1966.356
377,1971.296
378,1952.911
379,1937.704
380,1953.733
381,1986.644
382,1949.904
383,1981.044
384,1951.156
385,1952.074
386,1956.022
387,1955.578
388,1956.852
389,1943.563
390,1938.444
391,1955.044
392,1971.978
393,1930.874
394,1931.519
395,1954.222
396,1941.963
397,1935.889
398,1945.904
399,1973.667
400,1950.037
401,1977.007
402,1975.281
403,1964.119
404,1952.541
405,1948.363
406,1967.096
407,2001.304
408,1951.644
409,1957.756
410,1995.985
411,2018.867
412,1993.941
413,1999.267
414,1989.193
415,1969.644
416,1996.985
417,1966.415
418,1977.385
419,1995.022
420,1963.519
421,1989.059
422,1975.370
423,1951.763
424,1962.504
425,1980.304
426,1972.259
427,1963.430
428,1981.874
429,1983.941
430,1951.430
431,1983.481
432,1961.133
433,1960.615
434,1967.489
435,1940.600
436,1948.400
437,1951.704
438,1954.170
439,1927.881
440,1936.193
441,1968.356
442,1986.837
443,1958.459
444,1941.904
445,1930.504
446,1934.533
447,1926.133
448,1945.985
449,1930.919
450,1936.185
451,1996.733
452,1978.259
453,1969.667
454,1986.822
455,1978.526
456,1960.867
457,1978.993
458,1987.422
459,1960.141
460,1958.015
461,1998.622
462,1989.237
463,1976.341
464,1990.793
465,1954.978
466,1967.318
467,1965.044
468,1950.511
469,1984.874
470,1951.326
471,2007.511
472,2005.378
473,1989.667
474,1983.659
475,1979.052
476,1970.296
477,1991.985
478,1990.141
479,1976.348
480,1955.244
481,1992.467
482,1976.378
483,1968.711
484,1962.733
485,1983.696
486,1959.215
487,1951.244
488,1921.919
489,1931.341
490,1961.830
491,1983.489
492,1984.452
493,1983.459
494,1989.378
495,1951.941
496,1970.711
497,1945.904
498,1926.526
499,1958.259
500,1958.570
501,1966.726
502,1979.941
503,1976.044
504,1968.185
505,1992.644
506,2001.652
507,1962.822
508,1981.044
509,1980.430
510,1983.644
511,1980.163
512,1976.356
513,1962.770
514,1955.963
515,1968.141
516,1966.237
517,1948.578
518,1939.941
519,1946.956
520,1954.170
521,1983.793
522,1968.600
523,1986.719
524,1960.126
525,1938.163
526,1949.719
527,1929.081
528,1954.800
529,1951.119
530,1949.089
531,1981.318
532,1980.881
533,1948.156
534,1963.933
535,1977.215
536,1969.859
537,1978.148
538,1964.837
539,1991.156
540,1983.126
541,2008.311
542,1971.207
543,1970.815
544,1979.904
545,1947.652
546,1957.674
547,1977.933
548,1964.222
549,1949.237
550,1973.593
551,2016.541
552,1980.837
553,1979.230
554,1951.548
555,1949.163
556,1966.659
557,1954.252
558,1950.933
559,2002.926
560,1965.452
561,1974.311
562,1987.696
563,1950.652
564,1952.267
565,1963.215
566,1962.652
567,1942.496
568,1930.896
569,1945.733
570,1922.889
571,1969.593
572,1961.978
573,1945.074
574,1987.037
575,1936.630
576,1950.533
577,1956.222
578,1973.622
579,1961.896
580,1990.348
581,2007.215
582,1981.200
583,2016.311
584,1975.622
585,1985.156
586,1998.585
587,1984.615
588,1979.318
589,2017.548
590,1981.311
591,2044.437
592,2023.763
593,2003.111
594,2023.096
595,2022.704
596,2024.807
597,2009.104
598,2046.978
599,2021.511
600,2023.259
