[sec],Mean,Mean
0,547.292,500.364
1,500.115,419.121
2,396.323,331.788
3,335.844,267.394
4,304.01,251.879
5,275.167,232.303
6,237.833,214.818
7,235.115,205.03
8,222.26,192.667
9,222.979,189.879
10,223.042,187.182
11,204.74,183.091
12,194.625,177.303
13,197.01,171.485
14,204.031,174.455
15,206.031,178.424
16,203.042,172.697
17,207.052,179.091
18,197.938,169.485
19,194.115,170.636
20,189.448,166.03
21,193.354,168.697
22,206.229,169.364
23,190.26,171.485
24,191.531,165.818
25,182.094,176.364
26,178.375,169.667
27,180.948,167.606
28,175.812,166.242
29,180.948,166.788
30,176.333,158.727
31,179.76,160.879
32,180.625,166.182
33,176.292,166.424
34,181.917,164.909
35,183.635,163.879
36,195.177,164.667
37,189.479,162.848
38,180.208,155.485
39,179.26,162.333
40,181.344,160.909
41,185.031,169.182
42,171.708,164.424
43,178.104,164.939
44,171.938,157.242
45,175.896,170.697
46,177.771,166.121
47,176.698,166.121
48,172.396,171.727
49,177.854,169.212
50,171.188,161.939
51,168.771,172.242
52,169.344,164.818
53,167.198,172.485
54,165.542,160.879
55,174.677,163.697
56,170.792,165.848
57,170.271,163.303
58,167.25,159.97
59,166.646,172.212
60,168.229,172.091
61,166.844,170.455
62,169.031,166.848
63,168.01,173.152
64,167.625,176.121
65,169.323,170.606
66,165.615,168.848
67,170.812,167.061
68,171.323,174.636
69,170.281,175
70,169.896,168.758
71,170.125,166.667
72,169.208,161.879
73,171.885,165.333
74,169.344,161.03
75,168.719,165.242
76,169.708,163.455
77,164.344,161.576
78,161.896,161.909
79,160.177,160.727
80,165.885,162.485
81,168.438,165.758
82,161.198,165.727
83,162.427,161.182
84,164.458,167.242
85,163.74,160.485
86,164.635,160.576
87,164.448,158
88,175.104,166.091
89,166.448,165.758
90,164.583,171.606
91,165.51,158.303
92,166.865,157.364
93,167.573,158.636
94,166.031,165
95,172.188,162.242
96,168.604,157.818
97,168.271,159.727
98,167.729,159.333
99,162.292,158.545
100,163.833,155.667
101,176.812,159.848
102,167.156,165.091
103,167.156,165.515
104,165.438,168.061
105,170.646,166.242
106,159.5,165.818
107,165.365,163.212
108,164.312,162
109,165.646,160.545
110,160.896,161.485
111,159.719,160.515
112,161.792,163.939
113,159.615,156.364
114,158.052,156.545
115,160.573,165
