[sec],Mean
NaN,144.5556
-Infinity,124.4444
-Infinity,139.8889
-Infinity,139.0000
-Infinity,132.3333
-Infinity,122.4444
-Infinity,118.6667
-Infinity,121.0000
-Infinity,111.3333
-Infinity,121.8889
-Infinity,120.8889
-Infinity,120.4444
-Infinity,123.7778
-Infinity,115.7778
-Infinity,120.6667
-Infinity,117.5556
-Infinity,124.7778
-Infinity,118.7778
-Infinity,123.8889
-Infinity,120.0000
-Infinity,112.0000
-Infinity,112.5556
-Infinity,110.6667
-Infinity,108.4444
-Infinity,109.6667
-Infinity,118.6667
-Infinity,123.8889
-Infinity,110.5556
-Infinity,121.4444
-Infinity,119.7778
-Infinity,116.4444
-Infinity,111.5556
-Infinity,119.6667
-Infinity,114.0000
-Infinity,121.1111
-Infinity,121.7778
-Infinity,110.6667
-Infinity,121.3333
-Infinity,113.8889
-Infinity,119.2222
-Infinity,116.8889
-Infinity,116.3333
-Infinity,115.1111
-Infinity,109.5556
-Infinity,120.6667
-Infinity,119.4444
-Infinity,108.5556
-Infinity,112.1111
-Infinity,113.3333
-Infinity,113.1111
-Infinity,121.1111
-Infinity,113.7778
-Infinity,117.3333
-Infinity,121.4444
-Infinity,121.8889
-Infinity,116.3333
-Infinity,119.5556
-Infinity,114.7778
-Infinity,122.0000
-Infinity,114.5556
-Infinity,114.3333
-Infinity,117.3333
-Infinity,112.1111
-Infinity,114.0000
-Infinity,114.7778
-Infinity,119.4444
-Infinity,121.0000
-Infinity,116.4444
-Infinity,115.4444
-Infinity,114.4444
-Infinity,124.4444
-Infinity,104.2222
-Infinity,112.1111
-Infinity,112.1111
-Infinity,120.6667
-Infinity,113.5556
-Infinity,121.2222
-Infinity,114.3333
-Infinity,119.0000
-Infinity,123.1111
-Infinity,123.5556
-Infinity,119.2222
-Infinity,117.0000
-Infinity,119.8889
-Infinity,121.3333
-Infinity,118.4444
-Infinity,114.2222
-Infinity,119.6667
-Infinity,117.2222
-Infinity,117.7778
-Infinity,122.1111
-Infinity,111.7778
-Infinity,117.1111
-Infinity,117.6667
-Infinity,121.0000
-Infinity,120.4444
-Infinity,110.4444
-Infinity,122.8889
-Infinity,120.8889
-Infinity,117.8889
-Infinity,116.2222
-Infinity,117.6667
-Infinity,118.5556
-Infinity,124.3333
-Infinity,118.1111
-Infinity,122.8889
-Infinity,120.2222
-Infinity,117.0000
-Infinity,117.7778
-Infinity,115.8889
-Infinity,125.4444
-Infinity,118.4444
-Infinity,115.8889
-Infinity,127.2222
-Infinity,118.6667
-Infinity,116.4444
-Infinity,116.4444
-Infinity,120.7778
-Infinity,123.7778
-Infinity,115.3333
-Infinity,123.0000
-Infinity,121.5556
-Infinity,122.4444
-Infinity,127.0000
-Infinity,124.8889
-Infinity,132.0000
-Infinity,119.4444
-Infinity,119.7778
-Infinity,117.6667
-Infinity,118.8889
-Infinity,127.7778
-Infinity,127.8889
-Infinity,114.8889
-Infinity,128.5556
-Infinity,131.5556
-Infinity,119.7778
-Infinity,126.2222
-Infinity,117.0000
-Infinity,121.7778
-Infinity,118.2222
-Infinity,119.2222
-Infinity,121.0000
-Infinity,122.6667
-Infinity,118.0000
-Infinity,125.1111
-Infinity,123.5556
-Infinity,118.4444
-Infinity,118.1111
-Infinity,129.3333
-Infinity,127.0000
-Infinity,120.4444
-Infinity,128.4444
-Infinity,121.1111
-Infinity,123.7778
-Infinity,123.1111
-Infinity,121.3333
-Infinity,122.3333
-Infinity,126.5556
-Infinity,120.6667
-Infinity,120.4444
-Infinity,126.3333
-Infinity,122.7778
-Infinity,119.1111
-Infinity,118.8889
-Infinity,123.7778
-Infinity,117.1111
-Infinity,129.8889
-Infinity,118.6667
-Infinity,126.1111
-Infinity,118.3333
-Infinity,121.4444
-Infinity,123.0000
-Infinity,120.6667
-Infinity,121.8889
-Infinity,122.0000
-Infinity,129.5556
-Infinity,125.1111
-Infinity,116.1111
-Infinity,117.4444
-Infinity,125.6667
-Infinity,125.7778
-Infinity,128.5556
-Infinity,126.5556
-Infinity,125.1111
-Infinity,127.8889
-Infinity,116.5556
-Infinity,126.5556
-Infinity,121.7778
-Infinity,123.7778
-Infinity,127.0000
-Infinity,122.8889
-Infinity,126.6667
-Infinity,123.5556
-Infinity,123.7778
-Infinity,121.1111
-Infinity,116.5556
-Infinity,127.7778
-Infinity,120.7778
-Infinity,127.5556
-Infinity,124.2222
-Infinity,121.6667
-Infinity,117.4444
-Infinity,118.0000
-Infinity,117.7778
-Infinity,127.2222
-Infinity,132.3333
-Infinity,118.1111
-Infinity,129.0000
-Infinity,125.6667
-Infinity,126.7778
-Infinity,121.7778
-Infinity,120.5556
-Infinity,123.1111
-Infinity,130.6667
-Infinity,119.2222
-Infinity,134.4444
-Infinity,135.3333
-Infinity,127.0000
-Infinity,130.4444
-Infinity,133.2222
-Infinity,128.7778
-Infinity,132.6667
-Infinity,128.4444
-Infinity,126.8889
-Infinity,125.7778
-Infinity,134.5556
-Infinity,135.0000
-Infinity,132.1111
-Infinity,129.2222
-Infinity,132.2222
-Infinity,129.5556
-Infinity,138.4444
-Infinity,146.7778
-Infinity,128.7778
-Infinity,134.5556
-Infinity,134.3333
-Infinity,130.3333
-Infinity,137.4444
-Infinity,137.6667
-Infinity,131.8889
-Infinity,133.3333
-Infinity,142.0000
-Infinity,126.4444
-Infinity,142.0000
-Infinity,137.4444
-Infinity,130.6667
-Infinity,133.8889
-Infinity,133.3333
-Infinity,139.7778
-Infinity,153.1111
-Infinity,137.6667
-Infinity,136.6667
-Infinity,120.3333
-Infinity,136.4444
-Infinity,131.5556
-Infinity,129.8889
-Infinity,136.1111
-Infinity,136.2222
