Frame,Mean
0,139.1185
1,140.1872
2,139.1688
3,141.8361
4,142.1842
5,142.8041
6,143.5968
7,142.8824
8,141.4705
9,142.4578
10,141.1479
11,138.9850
12,137.8992
13,136.4372
14,134.0081
15,133.3157
16,131.0273
17,130.3904
18,129.0636
19,126.0963
20,124.6591
21,123.3574
22,123.3196
23,122.4045
24,122.9997
25,118.8708
26,116.6492
27,116.1012
28,115.6497
29,114.0040
30,113.6352
31,113.7694
32,112.7210
33,110.4852
34,110.4148
35,109.2252
36,108.5648
37,106.8010
38,106.3474
39,106.8482
40,106.2678
41,105.2128
42,105.0778
43,104.2837
44,102.4513
45,103.0594
46,101.6885
47,100.9829
48,101.2275
49,99.8009
50,99.3597
51,99.7657
52,99.8610
53,97.8004
54,98.9580
55,98.7298
56,97.5996
57,97.5892
58,96.2035
59,95.2430
60,94.4197
61,92.9678
62,93.0984
63,92.5185
64,92.9951
65,91.2030
66,92.0378
67,90.8553
68,91.0437
69,90.8428
70,89.7376
71,87.7463
72,88.2627
73,86.7262
74,85.5078
75,85.9565
76,85.1846
77,85.1230
78,86.5102
79,84.5321
80,84.1268
81,84.3087
82,83.6418
83,84.4300
84,84.3692
85,83.4640
86,83.6825
87,82.2339
88,82.0604
89,81.3665
90,80.5746
91,80.1095
92,81.3478
93,80.6714
94,78.6796
95,79.1314
96,77.8126
97,77.1111
98,76.6743
99,76.8713
100,77.1720
101,76.1008
102,75.5314
103,75.1239
104,75.0973
105,73.5649
106,73.7445
107,74.0528
108,72.7768
109,73.4136
110,72.7507
111,72.7700
112,71.5470
113,70.9883
114,72.2220
115,71.5883
116,70.5761
117,70.9318
118,69.8811
119,70.1122
120,69.8300
121,70.1598
122,69.3138
123,69.2872
124,68.7280
125,67.1039
126,67.4300
127,66.4305
128,67.9019
129,68.0034
130,67.0088
131,67.0968
132,66.2728
133,67.0428
134,67.6985
135,66.4979
136,65.6818
137,65.5206
138,64.4111
139,65.1689
140,65.0651
141,65.0242
142,63.9401
143,64.6967
144,64.6369
145,63.8688
146,63.1387
147,64.9463
148,63.8479
149,63.4815
150,63.4185
151,62.8467
152,64.0963
153,64.0170
154,62.5591
155,61.8601
156,62.1100
157,63.4071
158,62.8492
159,62.8729
160,61.0693
161,62.8187
162,62.2083
163,61.2824
164,61.2620
165,61.6171
166,60.4239
167,60.3566
168,59.4857
169,60.0326
170,59.6154
171,60.9318
172,60.0173
173,60.9763
174,60.4851
175,60.0709
176,59.8966
177,61.0071
178,59.3693
179,60.7976
180,60.5111
181,60.1481
182,60.7514
183,59.3767
184,59.5270
185,59.0728
186,59.3214
187,59.6150
188,60.2336
189,60.6706
190,60.6278
191,59.2554
192,60.1434
193,59.6282
194,59.4684
195,59.7622
196,58.7326
197,58.8438
198,59.4443
199,59.1006
200,58.2193
201,58.4419
202,58.0986
203,58.3654
204,58.2519
205,59.0340
206,58.7942
207,59.4940
208,58.4564
209,58.9174
210,58.8169
211,58.4451
212,57.9941
213,58.6505
214,57.5332
215,58.4224
216,58.2448
217,57.0260
218,58.8601
219,58.7702
220,57.7129
221,58.6896
222,58.5365
223,58.1581
224,59.3996
225,58.5953
226,58.2493
227,58.4226
228,57.9935
229,57.5026
230,58.2427
231,58.3940
232,58.1933
233,59.4845
234,59.7687
235,57.7501
236,58.2822
237,57.5941
238,58.2068
239,58.2533
240,57.8934
241,56.7753
242,57.3086
243,58.1778
244,56.9433
245,57.4651
246,57.1748
247,56.9981
248,57.5701
249,56.6656
250,56.7949
251,57.6093
252,58.1487
253,59.1846
254,58.6016
255,58.3947
256,58.0138
257,57.7331
258,57.5693
259,57.4224
260,56.1165
261,56.8399
262,56.1206
263,55.7154
264,56.9530
265,55.7576
266,55.2322
267,54.4783
268,55.2700
269,54.6499
270,55.4459
271,55.5143
272,55.2425
273,55.5208
274,55.7936
275,55.4957
276,56.2120
277,55.6246
278,55.1899
279,55.7821
280,56.3637
281,55.9126
282,55.3448
283,55.5188
284,56.1487
285,55.7043
286,55.3321
287,55.1433
288,54.7661
289,55.3290
290,54.8634
291,55.3692
