Frame,Mean,Mean,,
0,1370.462,32.8384,0.290634387,0.939268704
1,1371.651,32.8622,0.293863628,0.941216426
2,1354.126,33.1621,0.246266954,0.965759366
3,1344.986,32.9835,0.221443354,0.951143264
4,1356.487,33.3236,0.252679265,0.978976054
5,1340.129,32.96,0.208252082,0.949220093
6,1313.126,32.9317,0.134913824,0.946904103
7,1314.552,33.5805,0.13878674,1
8,1306.448,33.132,0.116776843,0.96329607
9,1282.207,32.1537,0.050939983,0.883234856
10,1281.078,31.1472,0.047873698,0.800865836
11,1281.148,30.8525,0.048063813,0.776748449
12,1263.451,30.3378,0,0.734626905
13,1271.212,30.5499,0.021078333,0.751984549
14,1283.543,30.6176,0.054568466,0.757524919
15,1273.476,30.0761,0.027227198,0.713210141
16,1282.719,29.4106,0.05233054,0.658747565
17,1290.602,29.1968,0.073740216,0.641250798
18,1290.501,28.9811,0.073465907,0.62359854
19,1300.759,28.7516,0.101325917,0.60481693
20,1321.99,28.6111,0.158987827,0.593318821
21,1307.487,28.3803,0.119598694,0.574430823
22,1317.733,28.0343,0.147426113,0.546115194
23,1325.121,27.9934,0.167491404,0.542768057
24,1320.904,27.3256,0.156038327,0.488117256
25,1331.246,27.1299,0.184126475,0.47210174
26,1335.921,27.3169,0.196823448,0.487405274
27,1328.346,26.5408,0.176250278,0.423891517
28,1350.324,26.3175,0.235940988,0.405617297
29,1353.934,26.7991,0.245745496,0.445030034
30,1355.863,26.2991,0.250984525,0.404111495
31,1352.359,26.0783,0.241467906,0.386041868
32,1357.298,25.7516,0.254881884,0.359305694
33,1373.776,25.9521,0.299634979,0.375714029
34,1365.575,25.9787,0.277361637,0.377890895
35,1374.842,25.8959,0.30253016,0.371114785
36,1372.613,25.5556,0.296476352,0.343265627
37,1385.78,24.9691,0.332237003,0.29526818
38,1383.779,25.0504,0.326802427,0.301921535
39,1377.056,25.4126,0.308543229,0.331562925
40,1392.314,25.2002,0.34998289,0.314180729
41,1397.914,25.2084,0.365192098,0.314851793
42,1392.49,25.109,0.350460893,0.306717187
43,1401.427,24.7141,0.37473316,0.274399725
44,1408.713,24.708,0.394521426,0.273900519
45,1398.676,24.474,0.367261636,0.254750642
46,1405.926,24.1383,0.386952129,0.227277935
47,1414.98,24.1931,0.411542159,0.231762607
48,1401.802,23.8897,0.375751634,0.206933237
49,1407.479,23.7858,0.391169968,0.198430365
50,1419.937,24.2252,0.425005024,0.234389577
51,1406.861,24.0717,0.389491524,0.221827586
52,1414.93,24.1106,0.411406363,0.225011048
53,1429.907,24.0779,0.452082847,0.222334976
54,1413.48,23.864,0.407468264,0.204830024
55,1430.211,23.7339,0.452908489,0.19418302
56,1442.701,23.8205,0.486830455,0.201270111
57,1434.936,23.5814,0.465741259,0.181702866
58,1441.746,23.4957,0.484236742,0.174689428
59,1436.787,23.7066,0.470768445,0.191948868
60,1422.487,23.5188,0.431930646,0.176579865
61,1441.107,23.3277,0.482501263,0.160940799
62,1445.635,23.6531,0.494798994,0.187570584
63,1440.935,23.2874,0.482034123,0.157642765
64,1452.3,23.5217,0.512900668,0.176817192
65,1453.826,23.4307,0.517045177,0.169370018
66,1428.872,23.0997,0.449271859,0.142281945
67,1448.907,23.316,0.503685517,0.159983305
68,1453.317,23.6265,0.515662768,0.185393718
69,1440.646,23.1386,0.481249219,0.145465407
70,1446.481,23.3704,0.497096671,0.164435242
71,1450.48,23.2324,0.507957675,0.153141725
72,1445.875,22.9468,0.495450817,0.129769056
73,1453.501,22.9216,0.5161625,0.127706761
74,1455.129,23.1501,0.520584034,0.146406534
75,1454.183,22.9234,0.518014764,0.127854068
76,1455.45,23.0834,0.521455847,0.140948001
77,1466.679,23.268,0.551953025,0.156055125
78,1460.324,23.3136,0.53469329,0.159786896
79,1468.497,23.1086,0.556890586,0.143010295
80,1475.184,23.1523,0.57505201,0.146586575
81,1462.499,22.7727,0.540600438,0.11552122
82,1470.931,22.9333,0.56350116,0.128664255
83,1469.221,22.9125,0.558856919,0.126962044
84,1481.53,22.728,0.592287302,0.111863103
85,1483.534,22.4863,0.597730026,0.092083081
86,1480.098,22.4047,0.58839809,0.085405175
87,1477.783,22.3628,0.582110712,0.081976202
88,1474.318,22.3937,0.572700015,0.084504968
89,1491.072,22.4064,0.618202706,0.085544298
90,1476.533,22.4486,0.5787158,0.088997823
