Frame,Mean
0,29.5802
1,29.6621
2,29.6783
3,29.8913
4,29.8849
5,29.9636
6,29.9246
7,29.8852
8,29.6842
9,29.6801
10,29.3577
11,29.2623
12,29.0842
13,28.8640
14,28.7664
15,28.6344
16,28.4002
17,28.1723
18,27.9275
19,27.8407
20,27.6787
21,27.5184
22,27.4103
23,27.2224
24,27.1205
25,26.8317
26,26.7236
27,26.5638
28,26.3398
29,26.1028
30,26.0496
31,25.9500
32,25.8292
33,25.7635
34,25.6302
35,25.4903
36,25.4567
37,25.3057
38,25.2281
39,25.0836
40,24.9820
41,24.8243
42,24.8444
43,24.7343
44,24.6178
45,24.6312
46,24.5120
47,24.4030
48,24.4293
49,24.2111
50,24.1417
51,24.1513
52,24.0715
53,23.9449
54,23.9403
55,23.6776
56,23.6568
57,23.6679
58,23.6519
59,23.5765
60,23.6251
61,23.4035
62,23.3926
63,23.3903
64,23.3305
65,23.2185
66,23.1612
67,23.1031
68,23.0553
69,22.9965
70,22.8954
71,22.8510
72,22.6887
73,22.5313
74,22.4310
75,22.4969
76,22.4911
77,22.4586
78,22.4596
79,22.4793
80,22.4165
81,22.3215
82,22.2626
83,22.2645
84,22.1676
85,22.1618
86,22.1043
87,22.0342
88,21.9847
89,21.9221
90,21.8496
91,21.8528
92,21.8918
93,21.7961
94,21.7071
95,21.5888
96,21.4234
97,21.4684
98,21.5002
99,21.5519
100,21.4467
101,21.4158
102,21.3044
103,21.2659
104,21.2730
105,21.2144
106,21.1851
107,21.1357
108,21.1457
109,21.1007
110,21.1088
111,21.1119
112,20.9583
113,20.8413
114,20.8940
115,20.8306
116,20.8217
117,20.7841
118,20.6891
119,20.6777
120,20.7394
121,20.6180
122,20.5848
123,20.5755
124,20.5747
125,20.5100
126,20.4493
127,20.4687
128,20.5477
129,20.5332
130,20.5594
131,20.5316
132,20.4979
133,20.4724
134,20.5046
135,20.4429
136,20.3964
137,20.3901
138,20.3781
139,20.3128
140,20.3520
141,20.2586
142,20.2125
143,20.2211
144,20.2305
145,20.1347
146,20.1280
147,20.1353
148,20.0917
149,20.0831
150,20.0605
151,20.0445
152,20.0364
153,20.0644
154,19.9136
155,19.9004
156,19.9530
157,20.0267
158,19.9832
159,19.9625
160,19.9473
161,19.9043
162,19.9472
163,19.9513
164,19.9494
165,19.9690
166,19.9017
167,19.8952
168,19.8850
169,19.8437
170,19.7945
171,19.7908
172,19.7399
173,19.7493
174,19.8097
175,19.8106
176,19.7587
177,19.7919
178,19.6742
179,19.6562
180,19.6574
181,19.6422
182,19.5854
183,19.5571
184,19.5662
185,19.5068
186,19.5188
187,19.4553
188,19.4955
189,19.4800
190,19.3753
191,19.3820
192,19.3615
193,19.4231
194,19.4799
195,19.3794
196,19.4124
197,19.4755
198,19.4941
199,19.4507
200,19.4404
201,19.3675
202,19.3830
203,19.3012
204,19.2827
205,19.2294
206,19.3050
207,19.2112
208,19.2999
209,19.3459
210,19.3087
211,19.3638
212,19.2604
213,19.1700
214,19.0999
215,19.1295
216,19.1006
217,18.9639
218,18.9540
219,18.9608
220,18.8761
221,18.8583
222,18.8872
223,18.7971
224,18.7420
225,18.6922
226,18.7345
227,18.7383
228,18.7748
229,18.7779
230,18.7403
231,18.7275
232,18.6846
233,18.7268
234,18.7110
235,18.5676
236,18.6085
237,18.5657
238,18.5907
239,18.5912
240,18.5292
241,18.4671
242,18.4719
243,18.4383
244,18.4008
245,18.3571
246,18.3971
247,18.4223
248,18.4480
249,18.3310
250,18.3845
251,18.3350
252,18.3713
253,18.3246
254,18.3136
255,18.3133
256,18.2953
257,18.3391
258,18.2957
259,18.2926
260,18.2999
261,18.3025
262,18.3000
263,18.3099
264,18.2964
265,18.2699
266,18.2366
267,18.1623
268,18.1161
269,18.2268
270,18.2077
271,18.1741
272,18.1406
273,18.0926
274,18.0353
275,17.9872
276,17.9823
277,17.9768
278,17.9681
279,17.9625
280,18.0101
281,17.9532
282,17.9526
283,17.8445
284,17.9296
285,17.8992
286,17.8937
287,17.8343
288,17.8413
289,17.8841
290,17.8062
291,17.8501
