[sec],Mean
0.00000E0,1153.569
1.12091E-34,1143.534
2.24182E-34,1136.539
3.36273E-34,1138.201
4.48364E-34,1133.706
5.60455E-34,978.750
6.72546E-34,1030.284
7.84637E-34,1050.515
8.96728E-34,1072.294
1.00882E-33,1066.667
1.12091E-33,970.559
1.23300E-33,1007.833
1.34509E-33,1036.098
1.45718E-33,1050.608
1.56927E-33,1071.711
1.68137E-33,995.083
1.79346E-33,1022.956
1.90555E-33,1041.177
2.01764E-33,1074.569
2.12973E-33,1073.515
2.24182E-33,997.176
2.35391E-33,1027.167
2.46600E-33,1035.475
2.57809E-33,1050.480
2.69018E-33,1062.338
2.80227E-33,993.892
2.91437E-33,1023.225
3.02646E-33,1021.549
3.13855E-33,1037.147
3.25064E-33,1044.206
3.36273E-33,974.583
3.47482E-33,978.877
3.58691E-33,995.853
3.69900E-33,1009.186
3.81109E-33,1015.799
3.92318E-33,957.990
4.03528E-33,973.515
4.14737E-33,982.240
4.25946E-33,997.603
4.37155E-33,988.814
4.48364E-33,937.681
4.59573E-33,957.363
4.70782E-33,969.603
4.81991E-33,984.348
4.93200E-33,993.956
5.04409E-33,923.059
5.15619E-33,941.333
5.26828E-33,940.353
5.38037E-33,949.995
5.49246E-33,945.931
5.60455E-33,897.020
5.71664E-33,910.652
5.82873E-33,905.456
5.94082E-33,928.716
6.05291E-33,924.799
6.16501E-33,912.956
6.27710E-33,916.598
6.38919E-33,938.353
6.50128E-33,934.132
6.61337E-33,948.941
6.72546E-33,921.127
6.83755E-33,928.701
6.94964E-33,949.069
7.06173E-33,949.225
7.17382E-33,949.034
7.28591E-33,906.858
7.39801E-33,910.196
7.51010E-33,932.485
7.62219E-33,943.505
7.73428E-33,911.044
7.84637E-33,924.824
7.95846E-33,937.603
8.07055E-33,951.471
8.18264E-33,958.676
8.29473E-33,922.750
8.40682E-33,939.206
8.51892E-33,941.676
8.63101E-33,938.299
8.74310E-33,933.059
8.85519E-33,905.936
8.96728E-33,916.245
9.07937E-33,922.868
9.19146E-33,932.755
9.30355E-33,930.784
9.41564E-33,912.691
9.52774E-33,918.613
9.63983E-33,947.333
9.75192E-33,952.804
9.86401E-33,956.980
9.97610E-33,916.417
1.00882E-32,941.314
1.02003E-32,949.397
1.03124E-32,956.907
1.04245E-32,963.152
1.05366E-32,916.725
1.06486E-32,913.475
1.07607E-32,924.299
1.08728E-32,938.407
1.09849E-32,944.152
