[sec],Mean
0.00000E0,1189.075
1.12091E-34,1180.373
2.24182E-34,1183.391
3.36273E-34,1180.363
4.48364E-34,1179.932
5.60455E-34,1021.291
6.72546E-34,1057.150
7.84637E-34,1082.175
8.96728E-34,1105.358
1.00882E-33,1112.411
1.12091E-33,1012.779
1.23300E-33,1049.877
1.34509E-33,1075.925
1.45718E-33,1074.694
1.56927E-33,1087.486
1.68137E-33,978.075
1.79346E-33,1009.248
1.90555E-33,1027.702
2.01764E-33,1048.541
2.12973E-33,1053.805
2.24182E-33,973.331
2.35391E-33,1003.276
2.46600E-33,999.038
2.57809E-33,1015.797
2.69018E-33,1028.311
2.80227E-33,942.391
2.91437E-33,963.662
3.02646E-33,978.266
3.13855E-33,991.794
3.25064E-33,1003.451
3.36273E-33,940.383
3.47482E-33,959.654
3.58691E-33,983.221
3.69900E-33,997.281
3.81109E-33,1001.677
3.92318E-33,927.451
4.03528E-33,946.782
4.14737E-33,963.253
4.25946E-33,970.070
4.37155E-33,969.822
4.48364E-33,923.013
4.59573E-33,946.677
4.70782E-33,966.416
4.81991E-33,971.977
4.93200E-33,988.652
5.04409E-33,904.336
5.15619E-33,931.521
5.26828E-33,948.639
5.38037E-33,962.622
5.49246E-33,967.303
5.60455E-33,903.058
5.71664E-33,929.198
5.82873E-33,928.677
5.94082E-33,950.609
6.05291E-33,948.599
6.16501E-33,898.293
6.27710E-33,916.609
6.38919E-33,931.356
6.50128E-33,938.005
6.61337E-33,946.494
6.72546E-33,893.504
6.83755E-33,912.712
6.94964E-33,921.915
7.06173E-33,936.637
7.17382E-33,938.847
7.28591E-33,916.303
7.39801E-33,922.180
7.51010E-33,931.183
7.62219E-33,951.371
7.73428E-33,898.371
7.84637E-33,914.393
7.95846E-33,928.404
8.07055E-33,935.206
8.18264E-33,939.406
8.29473E-33,890.599
8.40682E-33,911.977
8.51892E-33,924.404
8.63101E-33,935.995
8.74310E-33,936.514
8.85519E-33,895.779
8.96728E-33,912.654
9.07937E-33,929.654
9.19146E-33,938.902
9.30355E-33,953.995
9.41564E-33,904.977
9.52774E-33,912.697
9.63983E-33,931.599
9.75192E-33,938.110
9.86401E-33,946.356
9.97610E-33,903.018
1.00882E-32,916.020
1.02003E-32,923.060
1.03124E-32,928.276
1.04245E-32,932.975
1.05366E-32,900.767
1.06486E-32,904.875
1.07607E-32,906.258
1.08728E-32,925.992
1.09849E-32,935.862
