[sec],Mean
0.00000E0,1135.817
1.12091E-34,1132.161
2.24182E-34,1126.961
3.36273E-34,1119.722
4.48364E-34,1133.367
5.60455E-34,1014.383
6.72546E-34,1016.861
7.84637E-34,1012.850
8.96728E-34,1026.211
1.00882E-33,1030.394
1.12091E-33,929.117
1.23300E-33,930.100
1.34509E-33,913.083
1.45718E-33,898.772
1.56927E-33,908.128
1.68137E-33,867.806
1.79346E-33,871.900
1.90555E-33,879.567
2.01764E-33,868.694
2.12973E-33,867.739
2.24182E-33,828.472
2.35391E-33,825.961
2.46600E-33,825.100
2.57809E-33,823.511
2.69018E-33,840.533
2.80227E-33,796.000
2.91437E-33,785.183
3.02646E-33,788.639
3.13855E-33,801.356
3.25064E-33,809.500
3.36273E-33,773.828
3.47482E-33,772.839
3.58691E-33,762.294
3.69900E-33,773.906
3.81109E-33,781.933
3.92318E-33,732.600
4.03528E-33,745.194
4.14737E-33,750.433
4.25946E-33,754.528
4.37155E-33,740.617
4.48364E-33,706.050
4.59573E-33,717.139
4.70782E-33,723.733
4.81991E-33,714.100
4.93200E-33,713.061
5.04409E-33,678.156
5.15619E-33,684.656
5.26828E-33,694.322
5.38037E-33,674.689
5.49246E-33,685.017
5.60455E-33,680.856
5.71664E-33,685.472
5.82873E-33,680.311
5.94082E-33,700.767
6.05291E-33,698.133
6.16501E-33,685.706
6.27710E-33,695.328
6.38919E-33,694.550
6.50128E-33,699.394
6.61337E-33,715.422
6.72546E-33,698.356
6.83755E-33,704.700
6.94964E-33,698.856
7.06173E-33,708.811
7.17382E-33,705.156
7.28591E-33,685.894
7.39801E-33,685.578
7.51010E-33,693.517
7.62219E-33,702.522
7.73428E-33,669.828
7.84637E-33,672.194
7.95846E-33,679.661
8.07055E-33,685.489
8.18264E-33,692.150
8.29473E-33,667.900
8.40682E-33,668.667
8.51892E-33,687.189
8.63101E-33,695.528
8.74310E-33,686.372
8.85519E-33,676.939
8.96728E-33,675.039
9.07937E-33,671.628
9.19146E-33,680.856
9.30355E-33,691.222
9.41564E-33,691.606
9.52774E-33,683.233
9.63983E-33,703.756
9.75192E-33,709.856
9.86401E-33,703.200
9.97610E-33,695.217
1.00882E-32,697.789
1.02003E-32,697.978
1.03124E-32,708.883
1.04245E-32,708.072
1.05366E-32,703.422
1.06486E-32,695.533
1.07607E-32,700.267
1.08728E-32,708.706
1.09849E-32,726.056
