[sec],Mean
0.00000E0,1069.973
1.12091E-34,1044.283
2.24182E-34,1050.316
3.36273E-34,1049.471
4.48364E-34,1048.268
5.60455E-34,933.326
6.72546E-34,943.614
7.84637E-34,956.343
8.96728E-34,966.077
1.00882E-33,962.147
1.12091E-33,881.307
1.23300E-33,882.911
1.34509E-33,891.268
1.45718E-33,890.604
1.56927E-33,905.307
1.68137E-33,840.957
1.79346E-33,841.222
1.90555E-33,855.203
2.01764E-33,854.425
2.12973E-33,870.338
2.24182E-33,808.983
2.35391E-33,810.145
2.46600E-33,815.167
2.57809E-33,828.558
2.69018E-33,842.169
2.80227E-33,805.937
2.91437E-33,807.082
3.02646E-33,806.326
3.13855E-33,814.662
3.25064E-33,817.867
3.36273E-33,792.014
3.47482E-33,790.089
3.58691E-33,799.802
3.69900E-33,806.331
3.81109E-33,804.932
3.92318E-33,745.640
4.03528E-33,744.152
4.14737E-33,747.249
4.25946E-33,749.746
4.37155E-33,752.302
4.48364E-33,727.850
4.59573E-33,728.812
4.70782E-33,743.406
4.81991E-33,748.903
4.93200E-33,755.159
5.04409E-33,728.657
5.15619E-33,740.650
5.26828E-33,742.952
5.38037E-33,737.034
5.49246E-33,747.514
5.60455E-33,717.742
5.71664E-33,725.510
5.82873E-33,724.099
5.94082E-33,733.978
6.05291E-33,736.519
6.16501E-33,702.568
6.27710E-33,701.679
6.38919E-33,710.790
6.50128E-33,717.862
6.61337E-33,723.915
6.72546E-33,702.121
6.83755E-33,701.063
6.94964E-33,717.915
7.06173E-33,730.063
7.17382E-33,730.287
7.28591E-33,710.727
7.39801E-33,708.973
7.51010E-33,713.495
7.62219E-33,726.321
7.73428E-33,695.565
7.84637E-33,700.273
7.95846E-33,702.058
8.07055E-33,701.874
8.18264E-33,712.266
8.29473E-33,701.589
8.40682E-33,700.237
8.51892E-33,703.384
8.63101E-33,709.430
8.74310E-33,711.324
8.85519E-33,689.036
8.96728E-33,693.744
9.07937E-33,695.022
9.19146E-33,707.043
9.30355E-33,713.524
9.41564E-33,693.899
9.52774E-33,693.155
9.63983E-33,697.027
9.75192E-33,705.964
9.86401E-33,705.949
9.97610E-33,680.505
1.00882E-32,687.186
1.02003E-32,687.630
1.03124E-32,700.853
1.04245E-32,703.527
1.05366E-32,687.986
1.06486E-32,692.635
1.07607E-32,684.821
1.08728E-32,694.563
1.09849E-32,704.000
