Slice,Mean
1,959.089
2,961.564
3,953.695
4,943.778
5,929.144
6,926.676
7,927.360
8,924.043
9,925.244
10,931.137
11,936.899
12,937.999
13,936.930
14,948.543
15,940.043
16,936.037
17,932.412
18,934.862
19,932.926
20,934.946
21,937.311
22,945.281
23,943.996
24,949.777
25,965.150
26,957.945
27,956.702
28,951.586
29,951.680
30,946.804
31,953.720
32,951.793
33,954.622
34,959.911
35,961.860
36,969.353
37,969.902
38,957.777
39,959.970
40,958.832
41,954.179
42,961.350
43,966.124
44,965.713
45,970.521
46,972.775
47,984.929
48,979.635
49,973.832
50,968.978
51,969.121
52,966.671
53,968.859
54,966.061
55,969.521
56,968.949
57,973.280
58,990.912
59,981.527
60,977.545
61,978.692
62,973.019
63,971.966
64,972.222
65,970.039
66,975.299
67,972.348
68,974.246
69,996.885
70,991.423
71,981.906
72,975.595
73,975.537
74,967.790
75,971.336
76,969.955
77,974.558
78,974.013
79,973.665
80,998.622
81,989.857
82,983.125
83,973.439
84,972.019
85,971.421
86,970.601
87,968.527
88,970.546
89,973.124
90,973.164
91,990.865
92,985.915
93,977.124
94,971.722
95,970.055
96,968.185
97,964.598
98,966.305
99,966.653
100,967.988
101,973.688
102,989.478
103,983.817
104,970.775
105,968.640
106,965.451
107,963.862
108,959.229
109,958.625
110,959.257
111,963.568
112,964.315
113,980.112
114,974.208
115,964.668
116,961.451
117,959.824
118,960.695
119,956.647
120,961.510
121,958.554
122,960.757
123,962.936
124,978.019
125,976.948
126,967.150
127,963.118
128,957.531
129,957.515
130,957.722
131,956.812
132,955.387
133,955.515
134,957.493
135,976.275
136,971.024
137,963.644
138,961.683
139,950.632
140,951.865
141,948.850
142,949.594
143,949.588
144,946.982
145,949.076
146,961.780
147,952.868
148,946.982
149,940.161
150,939.088
151,935.875
152,929.692
153,932.347
154,932.388
155,929.856
156,930.262
157,955.000
158,947.954
159,940.790
160,933.811
161,931.438
162,928.609
163,927.106
164,924.292
165,922.045
166,923.115
167,922.579
168,942.885
169,936.144
170,930.305
171,921.012
172,918.438
173,918.982
174,920.249
175,916.312
176,916.582
177,916.793
178,915.655
179,928.487
180,925.865
181,918.887
182,910.872
183,911.833
184,908.061
185,900.574
186,901.594
187,903.259
188,903.365
189,904.814
190,921.664
191,916.726
192,906.369
193,901.524
194,899.990
195,895.850
196,891.216
197,892.906
198,889.452
199,892.567
200,889.240
201,909.229
202,903.412
203,897.629
204,889.949
205,886.440
206,888.460
207,888.662
208,888.228
209,886.598
210,886.454
211,886.268
212,897.268
213,895.482
214,894.409
215,885.190
216,881.213
217,881.682
218,880.686
219,878.930
220,880.451
221,881.347
222,877.658
223,894.510
224,889.832
225,889.244
226,881.613
227,875.821
228,878.354
229,875.807
230,873.756
231,871.519
232,874.426
233,871.229
234,891.106
235,886.460
236,878.859
237,871.985
238,870.469
239,869.371
240,862.685
241,860.887
242,864.621
243,863.052
244,864.958
245,877.314
246,874.165
247,865.756
248,861.516
249,860.491
250,858.963
251,859.217
252,856.101
253,855.777
254,852.564
255,857.033
256,866.897
257,862.863
258,862.213
259,855.512
260,853.015
261,849.052
262,847.094
263,848.629
264,846.292
265,846.717
266,847.631
267,861.624
268,859.732
269,853.875
270,848.390
271,845.915
272,843.714
273,840.336
274,845.882
275,840.208
276,838.881
277,843.432
278,854.449
279,853.196
280,847.827
281,839.506
282,835.440
283,836.155
284,834.155
285,832.427
286,834.443
287,835.001
288,834.716
289,849.470
290,841.150
291,838.688
292,833.882
293,829.131
294,830.219
295,827.354
296,825.897
297,826.768
298,828.939
299,821.914
300,841.772
301,837.122
302,829.865
303,827.674
304,826.458
305,820.347
306,821.162
307,820.686
