Slice,Mean
1,852.426
2,879.835
3,877.546
4,873.824
5,868.451
6,868.842
7,873.833
8,873.765
9,873.570
10,875.784
11,880.188
12,882.009
13,880.891
14,896.481
15,895.598
16,892.491
17,890.519
18,887.393
19,887.750
20,891.586
21,894.915
22,895.878
23,900.812
24,905.295
25,920.378
26,919.835
27,919.896
28,914.371
29,912.683
30,913.644
31,917.317
32,915.979
33,917.625
34,921.607
35,923.100
36,937.083
37,936.859
38,925.951
39,929.735
40,928.371
41,924.696
42,929.915
43,929.274
44,928.893
45,933.555
46,933.912
47,957.049
48,952.199
49,945.961
50,942.555
51,941.421
52,942.811
53,940.810
54,944.506
55,948.110
56,942.976
57,949.430
58,966.536
59,958.147
60,957.677
61,952.946
62,946.543
63,942.539
64,945.007
65,948.176
66,947.906
67,945.689
68,951.689
69,974.379
70,967.759
71,958.070
72,954.385
73,949.226
74,949.577
75,949.217
76,953.067
77,959.161
78,953.150
79,958.591
80,981.671
81,971.631
82,962.938
83,957.384
84,956.580
85,954.631
86,958.057
87,953.058
88,956.650
89,958.710
90,954.571
91,982.485
92,973.524
93,967.244
94,955.823
95,956.688
96,955.935
97,954.040
98,956.146
99,956.589
100,955.546
101,955.628
102,974.823
103,967.638
104,959.841
105,959.045
106,950.607
107,952.106
108,948.549
109,945.695
110,948.399
111,951.823
112,949.021
113,966.929
114,966.246
115,957.990
116,954.577
117,951.702
118,950.993
119,947.973
120,951.912
121,950.940
122,950.507
123,946.003
124,970.903
125,967.940
126,956.509
127,952.664
128,949.304
129,943.214
130,948.957
131,943.885
132,945.385
133,941.415
134,949.250
135,964.699
136,957.025
137,946.879
138,941.193
139,937.351
140,937.247
141,936.652
142,936.592
143,933.290
144,931.847
145,933.845
146,946.686
147,941.987
148,932.519
149,929.051
150,926.262
151,924.119
152,920.089
153,919.143
154,918.415
155,921.609
156,920.705
157,942.177
158,932.848
159,927.667
160,919.134
161,917.577
162,913.320
163,911.562
164,910.561
165,911.366
166,912.205
167,914.040
168,933.949
169,925.006
170,916.124
171,910.213
172,909.765
173,904.966
174,905.741
175,903.815
176,907.871
177,906.234
178,906.174
179,923.225
180,918.789
181,909.314
182,904.690
183,902.295
184,902.938
185,894.125
186,895.321
187,897.371
188,898.025
189,898.948
190,916.298
191,908.387
192,900.586
193,893.677
194,893.561
195,889.795
196,884.600
197,886.759
198,887.616
199,885.348
200,884.405
201,902.107
202,897.714
203,895.302
204,886.247
205,884.624
206,883.501
207,885.092
208,883.394
209,880.391
210,877.780
