Slice,Mean
1,889.372
2,851.783
3,851.063
4,849.352
5,845.507
6,840.032
7,834.726
8,824.764
9,824.081
10,819.724
11,813.808
12,811.083
13,806.320
14,783.481
15,779.002
16,773.381
17,765.341
18,759.946
19,757.439
20,749.986
21,744.207
22,740.970
23,736.387
24,733.886
25,701.802
26,694.809
27,689.506
28,687.489
29,683.677
30,673.656
31,672.570
32,665.254
33,663.020
34,658.642
35,656.527
36,649.569
37,650.863
38,642.181
39,637.993
40,634.706
41,628.107
42,628.143
43,622.456
44,617.687
45,616.050
46,611.500
47,595.138
48,597.084
49,589.560
50,585.828
51,584.183
52,582.719
53,578.343
54,576.663
55,573.572
56,573.671
57,569.216
58,560.601
59,559.744
60,557.087
61,555.064
62,547.398
63,545.976
64,542.239
65,538.281
66,535.421
67,534.383
68,532.326
69,523.721
70,523.969
71,515.364
72,513.871
73,505.347
74,503.743
75,498.374
76,500.947
77,495.064
78,494.129
79,489.432
80,482.972
81,480.494
82,479.971
83,478.917
84,474.458
85,472.981
86,472.272
87,469.003
88,467.194
89,467.453
90,462.806
91,460.318
92,457.199
93,458.789
94,456.404
95,455.609
96,449.658
97,450.018
98,448.479
99,445.330
100,447.576
101,443.748
102,438.689
103,438.289
104,436.186
105,433.318
106,430.041
107,431.636
108,429.041
109,426.978
110,427.126
111,427.216
112,423.497
113,417.866
114,417.288
115,415.631
116,413.903
117,411.412
118,410.231
119,407.088
120,408.140
121,408.427
122,408.134
123,407.460
124,405.113
125,404.450
126,405.048
127,403.717
128,403.830
129,403.084
130,402.581
131,398.816
132,396.538
133,396.582
134,395.244
135,391.154
136,390.950
137,390.251
138,388.722
139,387.871
140,387.733
141,386.056
142,384.886
143,382.384
144,383.163
145,382.618
146,376.137
147,378.200
148,373.608
149,375.586
150,372.726
151,373.721
152,370.487
153,369.761
154,368.106
155,369.082
156,368.051
157,365.817
158,366.964
159,367.069
160,365.512
161,364.968
162,362.579
163,362.674
164,362.652
165,362.711
166,360.600
167,362.953
168,358.643
169,358.671
170,356.639
171,357.366
172,356.526
173,355.414
174,353.481
175,349.208
176,353.290
177,349.991
178,350.268
179,349.330
180,348.428
181,347.293
182,345.678
183,347.813
184,347.033
185,346.606
186,345.376
187,347.019
188,346.954
189,345.816
190,344.087
191,344.119
192,343.672
193,340.703
194,343.186
195,340.804
196,342.233
197,341.813
198,340.993
199,339.934
200,338.729
201,340.836
202,339.026
203,338.884
204,338.519
205,337.638
206,337.568
207,335.213
208,335.480
209,334.903
210,335.518
211,334.476
212,329.022
213,329.629
214,331.333
215,330.487
216,329.584
217,327.214
218,329.416
219,326.721
220,327.612
221,324.698
222,324.608
223,327.113
224,330.923
225,327.110
226,325.944
227,326.976
228,328.066
229,325.146
230,326.167
231,325.202
232,326.367
233,327.286
234,322.041
235,323.897
236,323.866
237,321.722
238,320.420
239,321.643
240,318.969
241,317.101
242,317.441
243,317.622
244,316.303
245,314.817
246,316.631
247,314.180
248,312.022
249,312.504
250,310.651
251,312.988
252,312.110
253,309.728
254,310.632
255,310.210
256,307.316
257,306.979
258,307.713
259,305.493
260,307.311
261,304.200
262,305.207
263,305.039
264,304.907
265,305.616
266,304.702
267,307.879
268,307.939
269,308.392
270,306.422
271,303.827
272,304.724
273,304.879
274,302.031
275,303.550
276,303.369
277,303.681
278,301.683
279,300.757
280,299.692
281,302.212
282,299.780
283,298.078
284,300.776
285,299.680
286,298.467
287,298.230
288,298.471
289,297.142
290,296.910
291,298.467
292,296.390
293,296.661
294,294.091
295,295.668
296,294.359
297,295.648
298,294.649
299,295.948
300,296.198
301,298.309
302,297.967
303,297.817
304,299.013
305,297.496
306,297.032
307,296.326
308,294.954
309,296.566
310,295.912
311,295.114
312,296.713
313,295.292
314,294.521
315,294.408
316,293.538
317,293.834
318,293.052
319,293.890
320,293.147
321,292.069
322,292.309
323,292.903
324,292.628
325,291.962
326,291.896
327,292.546
328,289.908
329,292.179
330,291.274
331,291.049
332,290.750
333,289.897
334,292.384
335,291.394
336,291.559
337,291.643
338,290.434
339,290.178
340,290.986
341,289.716
342,290.229
343,288.764
344,287.784
345,287.074
346,286.286
347,287.017
348,286.324
349,285.834
350,286.002
351,286.461
352,285.959
353,287.058
354,286.502
355,289.159
356,289.687
357,290.550
358,288.967
359,289.302
360,291.220
361,289.997
362,289.104
363,289.191
364,288.796
365,289.111
366,287.253
367,286.747
368,288.149
369,288.193
370,285.201
371,285.237
372,284.494
373,285.003
374,285.896
375,285.166
376,284.013
377,284.579
378,283.277
379,284.792
380,283.841
381,283.224
382,283.021
383,283.124
384,283.369
385,284.540
386,283.020
387,281.107
388,282.766
389,282.172
390,281.509
391,283.452
392,280.866
393,282.122
394,280.999
395,281.856
396,281.331
397,280.677
398,279.541
399,279.527
400,282.042
401,283.310
402,283.546
403,282.412
404,281.810
405,280.282
406,280.810
407,282.191
408,280.969
409,283.736
410,284.198
411,285.478
412,286.168
413,285.921
414,283.103
415,284.992
416,285.571
417,285.680
418,284.716
419,284.334
420,286.206
421,281.797
422,282.550
423,283.701
424,282.516
425,282.403
426,281.771
427,280.933
428,280.538
429,282.283
430,281.007
431,280.801
432,279.420
433,279.372
434,280.191
435,279.464
436,279.779
437,279.998
438,279.999
439,278.927
440,279.816
441,277.699
442,277.937
443,278.464
444,278.640
445,280.204
446,278.079
447,278.634
448,277.592
449,279.873
450,279.713
451,277.192
452,278.974
453,277.048
454,277.393
455,279.289
456,278.100
457,280.081
458,279.554
459,279.274
460,279.217
461,278.440
462,278.177
463,278.714
464,279.069
465,277.838
466,277.347
467,276.020
468,277.294
469,276.307
470,276.439
471,276.987
472,277.639
473,276.181
474,276.559
475,275.341
476,278.878
477,278.168
478,279.593
479,279.610
480,279.829
481,281.206
482,279.303
483,279.253
484,279.547
485,280.351
486,281.454
